Stizostedion vitreum 	 Leech Lake, Minnesota 	 . 	 index 	 .  
Clupea harengus 	 Archipelago and Bothnian Seas 	 Thousand tonnes 	 Millions 	 Thousand tonnes 
Notothenia rossii 	 South Georgia, Antarctic Ocean 	 Thousand Tonnes 	 Millions 	 Thousand Tonnes 
Salmo salar 	 Terra Nova River, Lower fishway, Nfld, CA 	 Number of small salmon 	 . 	 .  
Clupea harengus 	 NAFO 4T (Fall spawners) 	 Tonnes 	 Thousands 	 .  
Huso huso 	 Danube river 	 . 	 Index 	 . 
Pleuronectes platessa 	 Skagerrak 	 Tonnes 	 Thousands 	 Tonnes 
Mugil cephalus 	 Taiwan 	 Thousands of Females 	 Numbers of Females 	 Numbers 
Oncorhynchus gorbuscha  	 North Coast Area 5, B.C.  	 Fish 	 Fish 	 Fish 
Stizostedion vitreum 	 Namakan River  	 Index 	 Index 	 .  
Oncorhynchus gorbuscha 	 Windy Right, Cook Inlet, Alaska 	 Numbers of fish 	 Numbers of fish 	 . 
Oncorhynchus nerka 	 Quesnel Lake, Fraser River, B.C. 	 Number of Effective Females 	 Number of fry (in October) 	 . 
Taius tumifrons 	 South East China Sea 	 Numbers 	 Numbers 	 .  
Oncorhynchus gorbuscha 	 Sunday Creek, Cook Inlet, Alaska 	 Numbers of fish 	 Numbers of fish 	 . 
Pandalus borealis 	 Flemish Cap 	 Tonnes 	 Thousands 	 Tonnes 
Oncorhynchus nerka 	 Branch River, Alaska 	 Thousands of fish 	 Thousands of fish 	 Millions of fish  
Thunnus obesus 	 West Atlantic 	 Tonnes 	 Thousands 	 Tonnes 
Stizostedion vitreum 	 Lake of the Woods, Minnesota 	 . 	 index 	 .  
Salvelinus fontinalis 	 Hell Diver 2 Lake, Sierra Nevada 	 . 	 Numbers 	 .  
Salmo salar 	 Shelligan Burn, Section D, Scotland 	 Numbers of fry per m^2 	 Numbers of 2 year olds per m^2 	 .  
Lepidorhombus whiffiagonis 	 ICES VII and VIII 	 Tonnes 	 Thousands 	 Tonnes  
