assessid	 pdfcheck	 pdffilename 
NIWA-PINKLINGLIN5-6-1972-2007-JENSEN 	 (pdf file MISSING!) 	 NONE 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/159
NIWA-PINKLINGLIN6b-1980-2006-JENSEN 	 (pdf file MISSING!) 	 NONE 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/158
NIWA-PINKLINGLIN72-1972-2007-JENSEN 	 (pdf file MISSING!) 	 NONE 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/160
NIWA-PINKLINGLIN7WC-1972-2008-JENSEN 	 (pdf file MISSING!) 	 NONE 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/161
NIWA-BFOOTABALONEPAU5A-1964-2006-JENSEN 	 (pdf file MISSING!) 	 NONE 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/183
NIWA-BFOOTABALONEPAU5B-1963-2007-JENSEN 	 (pdf file MISSING!) 	 NONE 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/185
NIWA-BFOOTABALONEPAU5D-1964-2006-JENSEN 	 (pdf file MISSING!) 	 NONE 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/184
NIWA-BFOOTABALONEPAU7-1964-2008-JENSEN 	 (pdf file MISSING!) 	 NONE 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/186
NIWA-GEMFISHNZ-1952-2006-JENSEN 	 (pdf file MISSING!) 	 NONE 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/182
NIWA-HOKIENZ-1972-2007-FRANCIS 	 (pdf file present) 	 FAR0804hok07.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/360
NIWA-HOKIWNZ-1972-2007-FRANCIS 	 (pdf file present) 	 FAR0804hok07.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/359
NIWA-NZSNAPNZ8-1931-2005-JENSEN 	 (pdf file MISSING!) 	 NONE 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/193
NIWA-SBWHITACIR-1979-2006-JENSEN 	 (pdf file MISSING!) 	 NONE 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/190
NIWA-SOUTHHAKECR-1975-2006-JENSEN 	 (pdf file MISSING!) 	 NONE 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/180
NIWA-SOUTHHAKESA-1975-2007-JENSEN 	 (pdf file MISSING!) 	 NONE 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/181
NIWA-WHITETREVALLYTRE7-1944-2005-JENSEN 	 (pdf file MISSING!) 	 NONE 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/189
