assessid,scientificname,commonname1,stocklong,lme_name,tsyear,tsid,tsvalue
ICCAT-ALBANATL-1930-2006-WORM,Thunnus alalunga,Albacore tuna,Albacore tuna North Atlantic,Atlantic High Seas,1984,TB-MT,183930
ICCAT-ALBANATL-1930-2006-WORM,Thunnus alalunga,Albacore tuna,Albacore tuna North Atlantic,Atlantic High Seas,1985,TB-MT,160870
ICCAT-ALBANATL-1930-2006-WORM,Thunnus alalunga,Albacore tuna,Albacore tuna North Atlantic,Atlantic High Seas,1985,TB-MT,160870
ICCAT-ALBANATL-1930-2006-WORM,Thunnus alalunga,Albacore tuna,Albacore tuna North Atlantic,Atlantic High Seas,1986,TB-MT,154740
ICCAT-ALBANATL-1930-2006-WORM,Thunnus alalunga,Albacore tuna,Albacore tuna North Atlantic,Atlantic High Seas,1986,TB-MT,154740
ICCAT-ALBANATL-1930-2006-WORM,Thunnus alalunga,Albacore tuna,Albacore tuna North Atlantic,Atlantic High Seas,1987,TB-MT,135270
ICCAT-ALBANATL-1930-2006-WORM,Thunnus alalunga,Albacore tuna,Albacore tuna North Atlantic,Atlantic High Seas,1987,TB-MT,135270
ICCAT-ALBANATL-1930-2006-WORM,Thunnus alalunga,Albacore tuna,Albacore tuna North Atlantic,Atlantic High Seas,1988,TB-MT,136550
ICCAT-ALBANATL-1930-2006-WORM,Thunnus alalunga,Albacore tuna,Albacore tuna North Atlantic,Atlantic High Seas,1988,TB-MT,136550
ICCAT-ALBANATL-1930-2006-WORM,Thunnus alalunga,Albacore tuna,Albacore tuna North Atlantic,Atlantic High Seas,1989,TB-MT,145900
ICCAT-ALBANATL-1930-2006-WORM,Thunnus alalunga,Albacore tuna,Albacore tuna North Atlantic,Atlantic High Seas,1989,TB-MT,145900
ICCAT-ALBANATL-1930-2006-WORM,Thunnus alalunga,Albacore tuna,Albacore tuna North Atlantic,Atlantic High Seas,1990,TB-MT,147540
ICCAT-ALBANATL-1930-2006-WORM,Thunnus alalunga,Albacore tuna,Albacore tuna North Atlantic,Atlantic High Seas,1990,TB-MT,147540
ICCAT-ALBANATL-1930-2006-WORM,Thunnus alalunga,Albacore tuna,Albacore tuna North Atlantic,Atlantic High Seas,1991,TB-MT,152470
ICCAT-ALBANATL-1930-2006-WORM,Thunnus alalunga,Albacore tuna,Albacore tuna North Atlantic,Atlantic High Seas,1991,TB-MT,152470
ICCAT-ALBANATL-1930-2006-WORM,Thunnus alalunga,Albacore tuna,Albacore tuna North Atlantic,Atlantic High Seas,1992,TB-MT,155920
ICCAT-ALBANATL-1930-2006-WORM,Thunnus alalunga,Albacore tuna,Albacore tuna North Atlantic,Atlantic High Seas,1992,TB-MT,155920
ICCAT-ALBANATL-1930-2006-WORM,Thunnus alalunga,Albacore tuna,Albacore tuna North Atlantic,Atlantic High Seas,1993,TB-MT,145530
ICCAT-ALBANATL-1930-2006-WORM,Thunnus alalunga,Albacore tuna,Albacore tuna North Atlantic,Atlantic High Seas,1993,TB-MT,145530
ICCAT-ALBANATL-1930-2006-WORM,Thunnus alalunga,Albacore tuna,Albacore tuna North Atlantic,Atlantic High Seas,1994,TB-MT,130310
ICCAT-ALBANATL-1930-2006-WORM,Thunnus alalunga,Albacore tuna,Albacore tuna North Atlantic,Atlantic High Seas,1994,TB-MT,130310
ICCAT-ALBANATL-1930-2006-WORM,Thunnus alalunga,Albacore tuna,Albacore tuna North Atlantic,Atlantic High Seas,1995,TB-MT,115270
ICCAT-ALBANATL-1930-2006-WORM,Thunnus alalunga,Albacore tuna,Albacore tuna North Atlantic,Atlantic High Seas,1995,TB-MT,115270
ICCAT-ALBANATL-1930-2006-WORM,Thunnus alalunga,Albacore tuna,Albacore tuna North Atlantic,Atlantic High Seas,1996,TB-MT,97677
ICCAT-ALBANATL-1930-2006-WORM,Thunnus alalunga,Albacore tuna,Albacore tuna North Atlantic,Atlantic High Seas,1996,TB-MT,97677
ICCAT-ALBANATL-1930-2006-WORM,Thunnus alalunga,Albacore tuna,Albacore tuna North Atlantic,Atlantic High Seas,1997,TB-MT,98735
ICCAT-ALBANATL-1930-2006-WORM,Thunnus alalunga,Albacore tuna,Albacore tuna North Atlantic,Atlantic High Seas,1997,TB-MT,98735
ICCAT-ALBANATL-1930-2006-WORM,Thunnus alalunga,Albacore tuna,Albacore tuna North Atlantic,Atlantic High Seas,1998,TB-MT,112350
ICCAT-ALBANATL-1930-2006-WORM,Thunnus alalunga,Albacore tuna,Albacore tuna North Atlantic,Atlantic High Seas,1998,TB-MT,112350
ICCAT-ALBANATL-1930-2006-WORM,Thunnus alalunga,Albacore tuna,Albacore tuna North Atlantic,Atlantic High Seas,1999,TB-MT,129950
ICCAT-ALBANATL-1930-2006-WORM,Thunnus alalunga,Albacore tuna,Albacore tuna North Atlantic,Atlantic High Seas,1999,TB-MT,129950
ICCAT-ALBANATL-1930-2006-WORM,Thunnus alalunga,Albacore tuna,Albacore tuna North Atlantic,Atlantic High Seas,2000,TB-MT,133300
ICCAT-ALBANATL-1930-2006-WORM,Thunnus alalunga,Albacore tuna,Albacore tuna North Atlantic,Atlantic High Seas,2000,TB-MT,133300
ICCAT-ALBANATL-1930-2006-WORM,Thunnus alalunga,Albacore tuna,Albacore tuna North Atlantic,Atlantic High Seas,2001,TB-MT,120320
ICCAT-ALBANATL-1930-2006-WORM,Thunnus alalunga,Albacore tuna,Albacore tuna North Atlantic,Atlantic High Seas,2001,TB-MT,120320
ICCAT-ALBANATL-1930-2006-WORM,Thunnus alalunga,Albacore tuna,Albacore tuna North Atlantic,Atlantic High Seas,2002,TB-MT,113790
ICCAT-ALBANATL-1930-2006-WORM,Thunnus alalunga,Albacore tuna,Albacore tuna North Atlantic,Atlantic High Seas,2002,TB-MT,113790
ICCAT-ALBANATL-1930-2006-WORM,Thunnus alalunga,Albacore tuna,Albacore tuna North Atlantic,Atlantic High Seas,2003,TB-MT,110040
ICCAT-ALBANATL-1930-2006-WORM,Thunnus alalunga,Albacore tuna,Albacore tuna North Atlantic,Atlantic High Seas,2003,TB-MT,110040
ICCAT-ALBANATL-1930-2006-WORM,Thunnus alalunga,Albacore tuna,Albacore tuna North Atlantic,Atlantic High Seas,2004,TB-MT,111030
ICCAT-ALBANATL-1930-2006-WORM,Thunnus alalunga,Albacore tuna,Albacore tuna North Atlantic,Atlantic High Seas,2004,TB-MT,111030
ICCAT-ALBANATL-1930-2006-WORM,Thunnus alalunga,Albacore tuna,Albacore tuna North Atlantic,Atlantic High Seas,2005,TB-MT,135750
ICCAT-ALBANATL-1930-2006-WORM,Thunnus alalunga,Albacore tuna,Albacore tuna North Atlantic,Atlantic High Seas,2005,TB-MT,135750
ICCAT-ATBTUNAEATL-1955-2007-WORM,Thunnus thynnus,Atlantic bluefin tuna,Bluefin tuna Eastern Atlantic,Atlantic High Seas,1970,TB-MT,305707.3
