"area","stockid","areaname","commonname","scientificname","taxocategory"
"NorthMidAtl","MENATGM","Gulf of Mexico","Gulf menhaden","Brevoortia patronus","Pelagic"
"NorthMidAtl","MUTSNAPSATLCGM","Southern Atlantic coast and Gulf of Mexico","Mutton snapper","Lutjanus analis","Other demersal"
"NorthMidAtl","RPORGYSATLC","Southern Atlantic coast","Common seabream","Pagrus pagrus","Other demersal"
"NorthMidAtl","RSNAPEGM","Eastern Gulf of Mexico","Red snapper","Lutjanus campechanus","Other demersal"
"NorthMidAtl","RSNAPSATLC","Southern Atlantic coast","Red snapper","Lutjanus campechanus","Other demersal"
"NorthMidAtl","SNOWGROUPSATLC","Southern Atlantic coast","Snowy grouper","Epinephelus niveatus","Other demersal"
"NorthMidAtl","SPANMACKSATLC","Southern Atlantic coast","Spanish mackerel","Scomberomorus maculatus","Pelagic"
"NorthMidAtl","TILESATLC","Southern Atlantic coast","Tilefish","Lopholatilus chamaeleonticeps","Other demersal"
"NorthMidAtl","VSNAPGM","Gulf of Mexico","Vermilion snapper","Rhomboplites aurorubens","Other demersal"
"NorthMidAtl","VSNAPSATLC","Southern Atlantic coast","Vermilion snapper","Rhomboplites aurorubens","Other demersal"
"NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","Other demersal"
"NWAtl","AMPL23K","Labrador - NE Newfoundland","American plaice","Hippoglossoides platessoides","Pleuronectiformes"
"NWAtl","AMPL3LNO","Grand Banks","American plaice","Hippoglossoides platessoides","Pleuronectiformes"
"NWAtl","AMPL5YZ","Gulf of Maine / Georges Bank","American plaice","Hippoglossoides platessoides","Pleuronectiformes"
"NWAtl","ATLCROAKMATLC","Mid-Atlantic Coast","Atlantic croaker","Micropogonias undulatus","Other demersal"
"NWAtl","BLUEFISHATLC","Atlantic Coast","Bluefish","Pomatomus saltatrix","Other demersal"
"NWAtl","BSBASSMATLC","Mid-Atlantic Coast","Black sea bass","Centropristis striata","Other demersal"
"NWAtl","BUTTERGOMCHATT","Gulf of Maine / Cape Hatteras","Atlantic butterfish","Peprilus triacanthus","Other demersal"
"NWAtl","COD2J3KL","Southern Labrador-Eastern Newfoundland","Atlantic cod","Gadus morhua","Gadidae"
"NWAtl","COD3NO","Southern Grand Banks","Atlantic cod","Gadus morhua","Gadidae"
"NWAtl","COD3Pn4RS","Northern Gulf of St. Lawrence","Atlantic cod","Gadus morhua","Gadidae"
"NWAtl","COD3Ps","St. Pierre Bank","Atlantic cod","Gadus morhua","Gadidae"
"NWAtl","COD4TVn","Southern Gulf of St. Lawrence","Atlantic cod","Gadus morhua","Gadidae"
"NWAtl","COD4VsW","Eastern Scotian Shelf","Atlantic cod","Gadus morhua","Gadidae"
"NWAtl","COD5Zjm","Georges Bank","Atlantic cod","Gadus morhua","Gadidae"
"NWAtl","CODGB","Georges Bank","Atlantic cod","Gadus morhua","Gadidae"
"NWAtl","CODGOM","Gulf of Maine","Atlantic cod","Gadus morhua","Gadidae"
"NWAtl","GHAL23KLMNO","Labrador Shelf - Grand Banks","Greenland halibut","Reinhardtius hippoglossoides","Pleuronectiformes"
"NWAtl","HAD4X5Y","Western Scotian Shelf, Bay of Fundy and Gulf of Maine","Haddock","Melanogrammus aeglefinus","Gadidae"
"NWAtl","HAD5Y","Gulf of Maine","Haddock","Melanogrammus aeglefinus","Gadidae"
"NWAtl","HAD5Zejm","Georges Bank","Haddock","Melanogrammus aeglefinus","Gadidae"
"NWAtl","HADGB","Georges Bank","Haddock","Melanogrammus aeglefinus","Gadidae"
"NWAtl","HERR4RFA","NAFO 4R","Herring","Clupea harengus","Pelagic"
"NWAtl","HERR4RSP","NAFO 4R","Herring","Clupea harengus","Pelagic"
"NWAtl","HERR4TFA","Southern Gulf of St. Lawrence","Herring","Clupea harengus","Pelagic"
"NWAtl","HERR4TSP","Southern Gulf of St. Lawrence","Herring","Clupea harengus","Pelagic"
"NWAtl","HERR4VWX","Scotian Shelf and Bay of Fundy","Herring","Clupea harengus","Pelagic"
"NWAtl","HERRNWATLC","Northwestern Atlantic Coast","Herring","Clupea harengus","Pelagic"
"NWAtl","MACKGOMCHATT","Gulf of Maine / Cape Hatteras","Mackerel","Scomber scombrus","Pelagic"
"NWAtl","POLL4VWX5Zc","Scotian Shelf, Bay of Fundy and Georges Bank","Pollock","Pollachius virens","Gadidae"
"NWAtl","SFLOUNMATLC","Mid-Atlantic Coast","Summer flounder","Paralichthys dentatus","Pleuronectiformes"
"NWAtl","STRIPEDBASSGOMCHATT","Gulf of Maine / Cape Hatteras","Striped bass","Morone saxatilis","Other demersal"
"NWAtl","WEAKFISHATLC","Atlantic Coast","Weakfish","Cynoscion regalis","Other demersal"
"NWAtl","WHAKEGBGOM","Gulf of Maine / Georges Bank","White hake","Urophycis tenuis","Gadidae"
"NWAtl","WINFLOUN5Z","Georges Bank","Winter flounder","Pseudopleuronectes americanus","Pleuronectiformes"
"NWAtl","WINFLOUNSNEMATL","Southern New England /Mid Atlantic","Winter flounder","Pseudopleuronectes americanus","Pleuronectiformes"
"NWAtl","WITFLOUN5Y","Gulf of Maine","Witch flounder","Glyptocephalus cynoglossus","Pleuronectiformes"
"NWAtl","YELLGB","Georges Bank","Yellowtail flounder","Limanda ferruginea","Pleuronectiformes"
"NWAtl","YELLSNEMATL","Southern New England /Mid Atlantic","Yellowtail flounder","Limanda ferruginea","Pleuronectiformes"
"SAfr","CHAKESA","South Africa","Shallow-water cape hake","Merluccius capensis","Other demersal"
"SAfr","CTRACSA","South Africa South coast","Cape horse mackerel","Trachurus capensis","Pelagic"
"SAfr","DEEPCHAKESA","South Africa","Deep-water cape hake","Merluccius paradoxus","Other demersal"
"SAfr","KINGKLIPSA","South Africa","Kingklip","Genypterus capensis","Other demersal"
"SEPac","CHTRACCH","Chilean EEZ and offshore","Chilean jack mackerel","Trachurus murphyi","Pelagic"
"SEPac","PANCHPERUNC","North-Central Peruvian coast","Peruvian anchoveta","Engraulis ringens","Pelagic"
