"","mgmt","stock","scientificname","assessmethod","timespan","currentyear","Bratio","bfromassessment","Uratio","ufromassessment"
"204","ICES","Capelin Iceland","\textit{Mallotus villosus}","Survey index","1977-2007",2006,0.485595111868407,"no",0.852357878276946,"no"
"40","ICES","Haddock Northeast Arctic","\textit{Melanogrammus aeglefinus}","VPA","1947-2006",2006,1.10006376824797,"no",1.06260296131535,"no"
"207","ICES","Haddock Faroe Plateau","\textit{Melanogrammus aeglefinus}","VPA","1955-2006",2006,0.848699704364383,"no",1.07484607174575,"no"
"208","ICES","Haddock Iceland","\textit{Melanogrammus aeglefinus}","VPA","1977-2007",2007,0.984568943195487,"no",1.22612569413253,"no"
"305","ICES","Haddock Irish Sea","\textit{Melanogrammus aeglefinus}","Survey index","1972-2006",NA,NA,NA,NA,NA
"306","ICES","Haddock West of Scotland","\textit{Melanogrammus aeglefinus}","Statistical catch at age model","1977-2006",2006,0.576469077636763,"no",0.732218847607599,"no"
"311","ICES","Haddock ICES IIIa and North Sea","\textit{Melanogrammus aeglefinus}","VPA","1963-2006",2006,0.622940231015581,"no",0.251992764247266,"no"
"312","ICES","Haddock Rockall Bank","\textit{Melanogrammus aeglefinus}","VPA","1990-2007",NA,NA,NA,NA,NA
"322","ICES","Haddock ICES VIIb-k","\textit{Melanogrammus aeglefinus}","VPA","1993-2006",NA,NA,NA,NA,NA
"309","ICES","Whiting ICES VIa","\textit{Merlangius merlangus}","Survey index","1984-2007",NA,NA,NA,NA,NA
"321","ICES","Whiting ICES IIIa, VIId and North Sea","\textit{Merlangius merlangus}","VPA","1979-2006",2006,0.330166410823582,"no",1.03788090909436,"no"
"327","ICES","Whiting ICES VIIe-k","\textit{Merlangius merlangus}","VPA","1982-2007",2006,0.442524070088541,"no",1.24986838655651,"no"
"295","ICES","Hake Northeast Atlantic North","\textit{Merluccius merluccius}","VPA","1977-2007",2006,1.04378261094178,"no",0.735028340718792,"no"
"296","ICES","Hake Northeast Atlantic South","\textit{Merluccius merluccius}","VPA","1982-2007",NA,NA,NA,NA,NA
"302","ICES","Whiting Northeast Atlantic","\textit{Micromesistius poutassou}","Integrated Analysis","1980-2007",2006,0.66661044169074,"no",1.66266278307182,"no"
"307","ICES","European Plaice Irish Sea","\textit{Pleuronectes platessa}","Statistical catch at age model","1962-2006",2006,1.07314554899493,"no",0.227848653192576,"no"
"314","ICES","European Plaice ICES VIId","\textit{Pleuronectes platessa}","VPA","1979-2006",NA,NA,NA,NA,NA
"315","ICES","European Plaice ICES IIIa","\textit{Pleuronectes platessa}","VPA","1976-2006",NA,NA,NA,NA,NA
"316","ICES","European Plaice North Sea","\textit{Pleuronectes platessa}","VPA","1956-2006",NA,NA,NA,NA,NA
"323","ICES","European Plaice ICES VIIf-g","\textit{Pleuronectes platessa}","VPA","1976-2006",2006,0.646042040944754,"no",0.413352387394563,"no"
"324","ICES","European Plaice ICES VIIe","\textit{Pleuronectes platessa}","VPA","1975-2006",2006,0.513540074872325,"no",1.38664467662442,"no"
"41","ICES","Pollock Northeast Arctic","\textit{Pollachius virens}","VPA","1957-2006",2006,1.69551306950897,"no",0.596616251341792,"no"
"209","ICES","Pollock Faroe Plateau","\textit{Pollachius virens}","VPA","1958-2006",2006,0.989698907119726,"no",1.52180447994899,"no"
"317","ICES","Pollock ICES IIIa, VI and North Sea","\textit{Pollachius virens}","VPA","1964-2006",2006,0.574980114110634,"no",0.966874543520585,"no"
"38","ICES","Greenland halibut Northeast Arctic","\textit{Reinhardtius hippoglossoides}","VPA","1959-2007",2006,0.357715924880104,"no",1.20352446879046,"no"
"301","ICES","European pilchard ICES VIIIc-IXa","\textit{Sardina pilchardus}","Statistical catch at age model","1978-2007",NA,NA,NA,NA,NA
"300","ICES","Mackerel ICES Northeast Atlantic","\textit{Scomber scombrus}","Statistical catch at age model","1972-2007",2006,0.9761153054221,"no",0.733103935660011,"no"
"39","ICES","Golden Redfish Northeast Arctic","\textit{Sebastes norvegicus}","Statistical catch at age model","1986-2006",NA,NA,NA,NA,NA
"292","ICES","common European sole ICES Kattegat and Skagerrak","\textit{Solea vulgaris}","VPA","1982-2007",2006,1.24659278670582,"no",0.536075999922487,"no"
"298","ICES","common European sole Bay of Biscay","\textit{Solea vulgaris}","VPA","1982-2006",2006,0.755009947110486,"no",1.00200590671144,"no"
"308","ICES","common European sole Irish Sea","\textit{Solea vulgaris}","VPA","1968-2006",2006,0.364430254306365,"no",1.16255992712935,"no"
"319","ICES","common European sole North Sea","\textit{Solea vulgaris}","VPA","1956-2006",NA,NA,NA,NA,NA
"320","ICES","common European sole ICES VIId","\textit{Solea vulgaris}","VPA","1981-2006",NA,NA,NA,NA,NA
"325","ICES","common European sole Celtic Sea","\textit{Solea vulgaris}","VPA","1970-2006",2006,0.900246874612497,"no",0.951942141842146,"no"
"326","ICES","common European sole Western English Channel","\textit{Solea vulgaris}","VPA","1968-2006",2006,0.51185109786244,"no",1.73785864468214,"no"
"93","ICES","Sprat North Sea","\textit{Sprattus sprattus}","Statistical catch at age model","1995-2007",NA,NA,NA,NA,NA
"293","ICES","Sprat ICES Baltic Areas 22-32","\textit{Sprattus sprattus}","VPA","1973-2007",2006,1.12908033984200,"no",1.26673620328686,"no"
