assessid,commonname1,scientificname,family,tsyear,total,total_unit,ssb,ssb_unit
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1943,430470,MT,225654,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1944,428486,MT,224657,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1945,425954,MT,223379,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1946,423181,MT,221953,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1947,421069,MT,220748,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1948,420755,MT,220382,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1949,419885,MT,219837,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1950,418974,MT,219302,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1951,418443,MT,218963,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1952,416885,MT,218178,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1953,416564,MT,217941,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1954,416923,MT,218034,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1955,416547,MT,217823,MT
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1956,,MT,,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1956,416189,MT,217625,MT
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1957,,MT,,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1957,413864,MT,216626,MT
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1958,,MT,,MT
