"","assessid","stockid","common_name","lme","year","ssb","ssb_unit","recruitment","recruitment_unit"
"119","AFSC-ARFLOUNDBSAI-1970-2008-STANTON","ARFLOUNDBSAI","Arrowtooth flounder","East Bering Sea",1994,461060,"MT",372550,"E03"
"120","AFSC-ARFLOUNDBSAI-1970-2008-STANTON","ARFLOUNDBSAI","Arrowtooth flounder","East Bering Sea",1995,478406,"MT",471690,"E03"
"121","AFSC-ARFLOUNDBSAI-1970-2008-STANTON","ARFLOUNDBSAI","Arrowtooth flounder","East Bering Sea",1996,494967,"MT",661180,"E03"
"122","AFSC-ARFLOUNDBSAI-1970-2008-STANTON","ARFLOUNDBSAI","Arrowtooth flounder","East Bering Sea",1997,501634,"MT",425320,"E03"
"123","AFSC-ARFLOUNDBSAI-1970-2008-STANTON","ARFLOUNDBSAI","Arrowtooth flounder","East Bering Sea",1998,507398,"MT",500640,"E03"
"124","AFSC-ARFLOUNDBSAI-1970-2008-STANTON","ARFLOUNDBSAI","Arrowtooth flounder","East Bering Sea",1999,509864,"MT",567630,"E03"
"125","AFSC-ARFLOUNDBSAI-1970-2008-STANTON","ARFLOUNDBSAI","Arrowtooth flounder","East Bering Sea",2000,524969,"MT",734150,"E03"
"126","AFSC-ARFLOUNDBSAI-1970-2008-STANTON","ARFLOUNDBSAI","Arrowtooth flounder","East Bering Sea",2001,543316,"MT",436110,"E03"
"127","AFSC-ARFLOUNDBSAI-1970-2008-STANTON","ARFLOUNDBSAI","Arrowtooth flounder","East Bering Sea",2002,562611,"MT",296810,"E03"
"128","AFSC-ARFLOUNDBSAI-1970-2008-STANTON","ARFLOUNDBSAI","Arrowtooth flounder","East Bering Sea",2003,596293,"MT",NA,"E03"
"129","AFSC-ARFLOUNDBSAI-1970-2008-STANTON","ARFLOUNDBSAI","Arrowtooth flounder","East Bering Sea",2004,635103,"MT",NA,"E03"
"130","AFSC-ARFLOUNDBSAI-1970-2008-STANTON","ARFLOUNDBSAI","Arrowtooth flounder","East Bering Sea",2005,663351,"MT",NA,"E03"
"131","AFSC-ARFLOUNDBSAI-1970-2008-STANTON","ARFLOUNDBSAI","Arrowtooth flounder","East Bering Sea",2006,697773,"MT",NA,"E03"
"132","AFSC-ARFLOUNDBSAI-1970-2008-STANTON","ARFLOUNDBSAI","Arrowtooth flounder","East Bering Sea",2007,742608,"MT",NA,"E03"
"133","AFSC-ARFLOUNDBSAI-1970-2008-STANTON","ARFLOUNDBSAI","Arrowtooth flounder","East Bering Sea",2008,788485,"MT",NA,"E03"
"134","AFSC-ARFLOUNDGA-1958-2010-STANTON","ARFLOUNDGA","Arrowtooth flounder","Gulf of Alaska",1958,NA,"MT",122530,"E03"
"135","AFSC-ARFLOUNDGA-1958-2010-STANTON","ARFLOUNDGA","Arrowtooth flounder","Gulf of Alaska",1959,NA,"MT",122880,"E03"
"136","AFSC-ARFLOUNDGA-1958-2010-STANTON","ARFLOUNDGA","Arrowtooth flounder","Gulf of Alaska",1960,NA,"MT",118480,"E03"
"137","AFSC-ARFLOUNDGA-1958-2010-STANTON","ARFLOUNDGA","Arrowtooth flounder","Gulf of Alaska",1961,197773,"MT",123350,"E03"
"138","AFSC-ARFLOUNDGA-1958-2010-STANTON","ARFLOUNDGA","Arrowtooth flounder","Gulf of Alaska",1962,203554,"MT",121380,"E03"
"139","AFSC-ARFLOUNDGA-1958-2010-STANTON","ARFLOUNDGA","Arrowtooth flounder","Gulf of Alaska",1963,207858,"MT",116960,"E03"
"140","AFSC-ARFLOUNDGA-1958-2010-STANTON","ARFLOUNDGA","Arrowtooth flounder","Gulf of Alaska",1964,211591,"MT",114710,"E03"
"141","AFSC-ARFLOUNDGA-1958-2010-STANTON","ARFLOUNDGA","Arrowtooth flounder","Gulf of Alaska",1965,215285,"MT",117550,"E03"
"142","AFSC-ARFLOUNDGA-1958-2010-STANTON","ARFLOUNDGA","Arrowtooth flounder","Gulf of Alaska",1966,219009,"MT",123440,"E03"
"143","AFSC-ARFLOUNDGA-1958-2010-STANTON","ARFLOUNDGA","Arrowtooth flounder","Gulf of Alaska",1967,220958,"MT",134920,"E03"
"144","AFSC-ARFLOUNDGA-1958-2010-STANTON","ARFLOUNDGA","Arrowtooth flounder","Gulf of Alaska",1968,222825,"MT",144530,"E03"
"145","AFSC-ARFLOUNDGA-1958-2010-STANTON","ARFLOUNDGA","Arrowtooth flounder","Gulf of Alaska",1969,224985,"MT",247400,"E03"
