"assessid","stockid","stocklong","scientificname","lme_name","bioid","biovalue","type.x","msy","type.y"
"HAWG-HERRNIRS-1960-2006-JENNINGS","HERRNIRS","Herring Northern Irish Sea","Clupea harengus","Celtic-Biscay Shelf",NA,NA,NA,18160.4240018098,"Schaefer"
"HAWG-HERRNS-1960-2007-MINTO","HERRNS","Herring North Sea","Clupea harengus","North Sea",NA,NA,NA,597793.108103974,"Schaefer"
"HAWG-HERRVIa-1957-2006-MINTO","HERRVIa","Herring ICES VIa","Clupea harengus","Celtic-Biscay Shelf",NA,NA,NA,95894.1252623679,"Schaefer"
"HAWG-HERRVIaVIIbc-1969-2000-MINTO","HERRVIaVIIbc","Herring ICES VIa-VIIb-VIIc","Clupea harengus","Celtic-Biscay Shelf",NA,NA,NA,38445.6179135245,"Schaefer"
"HAWG-SPRATNS-1995-2007-MINTO","SPRATNS","Sprat North Sea","Sprattus sprattus","North Sea",NA,NA,NA,NA,NA
"IATTC-BIGEYEEPAC-1975-2007-JENSEN","BIGEYEEPAC","Bigeye tuna Eastern Pacific","Thunnus obesus","Pacific High Seas","MSY-MT","92758.00","assessment",NA,NA
"IATTC-YFINEPAC-1975-2007-JENSEN","YFINEPAC","Yellowfin tuna Eastern Pacific","Thunnus albacares","Pacific High Seas","MSY-MT","289140.00","assessment",NA,NA
"ICCAT-ALBANATL-1929-2005-WORM","ALBANATL","Albacore tuna North Atlantic","Thunnus alalunga","Atlantic High Seas","MSY-MT","30230","assessment",39183.0682472209,"Schaefer"
"ICCAT-ATBTUNAEATL-1969-2007-WORM","ATBTUNAEATL","Bluefin tuna Eastern Atlantic","Thunnus thynnus","Atlantic High Seas","MSY-MT","49313.8","assessment",44222.9869668033,"Schaefer"
"ICCAT-ATBTUNAWATL-1969-2007-WORM","ATBTUNAWATL","Bluefin tuna Western Atlantic","Thunnus thynnus","Atlantic High Seas","MSY-MT","2851.9","assessment",NA,NA
"ICCAT-BIGEYEATL-1950-2005-JENSEN","BIGEYEATL","Bigeye tuna Atlantic","Thunnus obesus","Atlantic High Seas","MSY-MT","90820","assessment",92041.9748176838,"Schaefer"
"ICCAT-SKJEATL-1950-2006-JENSEN","SKJEATL","Skipjack tuna Eastern Atlantic","Katsuwonus pelamis","Atlantic High Seas","MSY-MT","225796","assessment",254740.332144558,"Schaefer"
"ICCAT-SKJWATL-1952-2006-JENSEN","SKJWATL","Skipjack tuna Western Atlantic","Katsuwonus pelamis","Atlantic High Seas","MSY-MT","57815","assessment",56897.1197883883,"Schaefer"
"ICCAT-SWORDMED-1968-2006-JENSEN","SWORDMED","Swordfish Mediterranean Sea","Xiphias gladius","Mediterranean Sea","MSY-MT","12140","assessment",12237.9859994608,"Schaefer"
"ICCAT-SWORDNATL-1978-2007-JENSEN","SWORDNATL","Swordfish North Atlantic","Xiphias gladius","Atlantic High Seas","MSY-MT","14879","assessment",15179.483115385,"Schaefer"
"ICCAT-SWORDSATL-1970-2005-JENSEN","SWORDSATL","Swordfish South Atlantic","Xiphias gladius","Atlantic High Seas","MSY-MT","16640","assessment",NA,NA
"ICCAT-YFINATL-1970-2006-JENSEN","YFINATL","Yellowfin tuna Atlantic","Thunnus albacares","Atlantic High Seas","MSY-MT","129800","assessment",138413.380859072,"Schaefer"
"IMARM-SFMAKONWPAC-1990-2003-FAUCONNET","SFMAKONWPAC","Shortfin mako Nothwest Pacific Ocean","Isurus oxyrinchus","Pacific High Seas",NA,NA,NA,NA,NA
"IMARPE-PANCHPERUNC-1963-2004-RICARD","PANCHPERUNC","Peruvian anchoveta North-Central Peru","Engraulis ringens","Humboldt Current",NA,NA,NA,NA,NA
"INIDEP-ARGANCHONARG-1989-2007-Parma","ARGANCHONARG","Argentine anchoita Northern Argentina","Engraulis anchoita","Patagonian Shelf","MSY-MT","424027.80","assessment",NA,NA
"INIDEP-ARGANCHOSARG-1992-2007-Parma","ARGANCHOSARG","Argentine anchoita Southern Argentina","Engraulis anchoita","Patagonian Shelf","MSY-MT","289825.38","assessment",NA,NA
"INIDEP-ARGHAKENARG-1985-2007-Parma","ARGHAKENARG","Argentine hake Northern Argentina","Merluccius hubbsi","Patagonian Shelf","MSY-MT","169416","assessment",142486.138460782,"Schaefer"
"INIDEP-ARGHAKESARG-1985-2008-Parma","ARGHAKESARG","Argentine hake Southern Argentina","Merluccius hubbsi","Patagonian Shelf","MSY-MT","277675.26","assessment",348711.426157354,"Schaefer"
"INIDEP-PATGRENADIERSARG-1983-2006-Parma","PATGRENADIERSARG","Patagonian grenadier Southern Argentina","Macruronus magellanicus","Patagonian Shelf","MSY-MT","132131.00","assessment",120813.099720696,"Schaefer"
"INIDEP-SBWHITARGS-1985-2007-Parma","SBWHITARGS"," Southern blue whiting Southern Argentina","Micromesistius australis","Patagonian Shelf",NA,NA,NA,NA,NA
"IOTC-BIGEYEIO-1957-2006-JENSEN","BIGEYEIO","Bigeye tuna Indian Ocean","Thunnus obesus","Indian High Seas","MSY-MT","111200","assessment",NA,NA
"IPHC-PHALNPAC-1988-2009-Parma","PHALNPAC","Pacific halibut North Pacific","Hippoglossus stenolepis","Gulf of Alaska",NA,NA,NA,NA,NA
"MARAM-ANCHOSA-1984-2006-deMoor","ANCHOSA","Anchovy South Africa","Engraulis encrasicolus","Benguela Current",NA,NA,NA,387317.480985244,"Schaefer"
"MARAM-CHAKESA-1917-2008-DEDECKER","CHAKESA","Shallow-water cape hake South Africa","Merluccius capensis","Benguela Current","MSY-MT","86000","assessment",50412.7803355358,"Schaefer"
"MARAM-CRLOBSTERSA12-1910-2008-Johnston","CRLOBSTERSA12","South African west coast rock lobster South Africa Areas 1-2","Jasus lalandii","Benguela Current",NA,NA,NA,NA,NA
"MARAM-CRLOBSTERSA34-1910-2008-Johnston","CRLOBSTERSA34","South African west coast rock lobster South Africa Areas 3-4","Jasus lalandii","Benguela Current",NA,NA,NA,NA,NA
"MARAM-CRLOBSTERSA56-1910-2008-Johnston","CRLOBSTERSA56","South African west coast rock lobster South Africa Areas 5-6","Jasus lalandii","Benguela Current",NA,NA,NA,NA,NA
"MARAM-CRLOBSTERSA7-1910-2008-Johnston","CRLOBSTERSA7","South African west coast rock lobster South Africa Area 7","Jasus lalandii","Benguela Current",NA,NA,NA,NA,NA
"MARAM-CRLOBSTERSA8-1910-2008-Johnston","CRLOBSTERSA8","South African west coast rock lobster South Africa Area 8","Jasus lalandii","Benguela Current",NA,NA,NA,NA,NA
"MARAM-CTRACSA-1950-2007-Johnston","CTRACSA","Cape horse mackerel South Africa South coast","Trachurus capensis","Agulhas Current",NA,NA,NA,43695.4824801602,"Schaefer"
"MARAM-DEEPCHAKESA-1917-2008-DEDECKER","DEEPCHAKESA","Deep-water cape hake South Africa","Merluccius paradoxus","Benguela Current","MSY-MT","113500","assessment",NA,NA
"MARAM-KINGKLIPSA-1932-2008-DEDECKER","KINGKLIPSA","Kingklip South Africa","Genypterus capensis","Benguela Current","MSY-MT","66882","assessment",3851.81598311535,"Schaefer"
"MARAM-PTOOTHFISHPEI-1960-2008-DEDECKER","PTOOTHFISHPEI","Patagonian toothfish South Africa Subantarctic Prince Edward Islands","Dissostichus eleginoides","Subantarctic High Seas","MSY-MT","2366","assessment",NA,NA
"MARAM-SAABALONESA-1951-2008-PLAGANYI","SAABALONESA","South African abalone South Africa","Haliotis midae","Benguela Current",NA,NA,NA,NA,NA
"MARAM-SARDSA-1984-2006-deMoor","SARDSA","Sardine South Africa","Sardinops sagax","Benguela Current",NA,NA,NA,519696.361594838,"Schaefer"
"MARAM-SSLOBSTERSASC-1973-2008-Johnston","SSLOBSTERSASC","Southern spiny lobster South Africa South coast","Palinurus gilchristi","Agulhas Current",NA,NA,NA,468.811139634746,"Schaefer"
"NAFO-SC-AMPL3LNO-1955-2007-BAUM","AMPL3LNO","American Plaice NAFO-3LNO","Hippoglossoides platessoides","Newfoundland-Labrador Shelf",NA,NA,NA,47145.7902558381,"Schaefer"
"NAFO-SC-AMPL3M-1960-2007-BAUM","AMPL3M","American Plaice NAFO-3M","Hippoglossoides platessoides","Newfoundland-Labrador Shelf",NA,NA,NA,NA,NA
"NAFO-SC-COD3M-1959-2008-BAUM","COD3M","Atlantic cod NAFO 3M","Gadus morhua","Newfoundland-Labrador Shelf",NA,NA,NA,NA,NA
"NAFO-SC-COD3NO-1953-2007-BAUM","COD3NO","Atlantic cod NAFO 3NO","Gadus morhua","Newfoundland-Labrador Shelf",NA,NA,NA,100307.926626013,"Schaefer"
"NAFO-SC-GHAL23KLMNO-1960-2006-PREFONTAINE","GHAL23KLMNO","Greenland halibut NAFO 23KLMNO","Reinhardtius hippoglossoides","Newfoundland-Labrador Shelf",NA,NA,NA,35242.2173687916,"Schaefer"
"NAFO-SC-REDFISHSPP3LN-1959-2008-BAUM","REDFISHSPP3LN","Redfish species NAFO 3LN","Sebastes spp","Newfoundland-Labrador Shelf","MSY-MT","24440","assessment",24538.5345575366,"Schaefer"
"NAFO-SC-REDFISHSPP3M-1985-2006-PREFONTAINE","REDFISHSPP3M","Redfish species NAFO 3M","Sebastes spp","Newfoundland-Labrador Shelf",NA,NA,NA,NA,NA
"NAFO-SC-YELL3LNO-1960-2009-BAUM","YELL3LNO","Yellowtail Flounder NAFO 3LNO","Limanda ferruginea","Northeast U.S. Continental Shelf","MSY-MT","18820","assessment",18777.2254081067,"Schaefer"
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank","Sebastes fasciatus","Northeast U.S. Continental Shelf","MSY-MT","10139","assessment",NA,NA
"NEFSC-AMPL5YZ-1960-2008-OBRIEN","AMPL5YZ","American Plaice NAFO-5YZ","Hippoglossoides platessoides","Northeast U.S. Continental Shelf","MSY-MT","4059","assessment",7458.42839431349,"Schaefer"
