"assessid","stockid","stocklong","scientificname","lme_name","bioid","biovalue","type.x","msy","type.y"
"NEFSC-ATHAL5YZ-1800-2007-COL","ATHAL5YZ","Atlantic Halibut NAFO-5YZ","Hippoglossus hippoglossus","Northeast U.S. Continental Shelf","MSY-MT","3500","assessment",NA,NA
"NEFSC-BLUEFISHATLC-1981-2007-SHEPHERD","BLUEFISHATLC","Bluefish Atlantic Coast","Pomatomus saltatrix","Northeast U.S. Continental Shelf","MSY-MT","15565","assessment",15413.5149854979,"Schaefer"
"NEFSC-BSBASSMATLC-1968-2007-SHEPHERD","BSBASSMATLC","Black sea bass Mid-Atlantic Coast","Centropristis striata","Northeast U.S. Continental Shelf","MSY-MT","3903","assessment",3468.9249074747,"Schaefer"
"NEFSC-BUTTERGOMCHATT-1965-2005-OVERHOLTZ","BUTTERGOMCHATT","Atlantic butterfish Gulf of Maine / Cape Hatteras","Peprilus triacanthus","Northeast U.S. Continental Shelf","MSY-MT","12.175","assessment",NA,NA
"NEFSC-CODGB-1960-2008-BAUM","CODGB","Atlantic cod Georges Bank","Gadus morhua","Northeast U.S. Continental Shelf","MSY-MT","31159","assessment",36497.534888921,"Schaefer"
"NEFSC-CODGOM-1893-2008-BAUM","CODGOM","Atlantic cod Gulf of Maine","Gadus morhua","Northeast U.S. Continental Shelf","MSY-MT","16600","assessment",9423.85952792668,"Schaefer"
"NEFSC-HAD5Y-1956-2008-BAUM","HAD5Y","Haddock NAFO-5Y","Melanogrammus aeglefinus","Northeast U.S. Continental Shelf","MSY-MT","1360","assessment",3160.54575832725,"Schaefer"
"NEFSC-HADGB-1930-2008-BAUM","HADGB","Haddock Georges Bank","Melanogrammus aeglefinus","Northeast U.S. Continental Shelf","MSY-MT","32746","assessment",NA,NA
"NEFSC-HERRNWATLC-1960-2005-OVERHOLTZ","HERRNWATLC","Atlantic herring Northwestern Atlantic Coast","Clupea harengus","Northeast U.S. Continental Shelf","MSY-MT","194000","assessment",NA,NA
"NEFSC-ILLEXNWATLC-1967-2005-HENDRICKSON","ILLEXNWATLC","Northern shortfin squid Northwestern Atlantic Coast","Illex illecebrosus","Northeast U.S. Continental Shelf",NA,NA,NA,NA,NA
"NEFSC-MACKGOMCHATT-1960-2005-OVERHOLTZ","MACKGOMCHATT","Atlantic mackerel Gulf of Maine / Cape Hatteras","Scomber scombrus","Northeast U.S. Continental Shelf","MSY-MT","89000","assessment",NA,NA
"NEFSC-MONKGOMNGB-1964-2006-RICHARDS","MONKGOMNGB","Monkfish Gulf of Maine / Northern Georges Bank","Lophius americanus","Northeast U.S. Continental Shelf","MSY-MT","3500","assessment",11035.8020673939,"Schaefer"
"NEFSC-MONKSGBMATL-1964-2006-RICHARDS","MONKSGBMATL","Monkfish Southern Georges Bank / Mid-Atlantic","Lophius americanus","Northeast U.S. Continental Shelf",NA,NA,NA,18623.8817280831,"Schaefer"
"NEFSC-POLL5YZ-1963-2007-MAYO","POLL5YZ","Pollock NAFO-5YZ","Pollachius virens","Northeast U.S. Continental Shelf","MSY-MT","11320","assessment",NA,NA
"NEFSC-QUAHATLC-1978-2008-CHUTE","QUAHATLC","Ocean quahog Atlantic Coast","Arctica islandica","Northeast U.S. Continental Shelf",NA,NA,NA,NA,NA
"NEFSC-SCALLGB-1964-2006-HART","SCALLGB","Sea scallop Georges Bank","Placopecten magellanicus","Northeast U.S. Continental Shelf",NA,NA,NA,13910.5107161732,"Schaefer"
"NEFSC-SCALLMATLC-1964-2006-HART","SCALLMATLC","Sea scallop Mid-Atlantic Coast","Placopecten magellanicus","Northeast U.S. Continental Shelf",NA,NA,NA,24735.6301652523,"Schaefer"
"NEFSC-SCUPNWATLC-1960-2007-TERCEIRO","SCUPNWATLC","Scup Atlantic Coast","Stenotomus chrysops","Northeast U.S. Continental Shelf",NA,NA,NA,NA,NA
"NEFSC-SDOGATLC-1962-2006-SOSEBEE","SDOGATLC","Spiny dogfish Atlantic Coast","Squalus acanthias","Northeast U.S. Continental Shelf",NA,NA,NA,NA,NA
"NEFSC-SFLOUNMATLC-1940-2007-BAUM","SFLOUNMATLC","Summer flounder Mid-Atlantic Coast","Paralichthys dentatus","Northeast U.S. Continental Shelf",NA,NA,NA,NA,NA
"NEFSC-SHAKEGOMNGB-1955-2005-COL","SHAKEGOMNGB","Silver hake Gulf of Maine / Northern Georges Bank","Merluccius bilinearis","Northeast U.S. Continental Shelf",NA,NA,NA,NA,NA
"NEFSC-SHAKESGBMATL-1955-2005-COL","SHAKESGBMATL","Silver hake Southern Georges Bank / Mid-Atlantic","Merluccius bilinearis","Northeast U.S. Continental Shelf",NA,NA,NA,NA,NA
"NEFSC-STRIPEDBASSGOMCHATT-1982-2006-SHEPHERD","STRIPEDBASSGOMCHATT","Striped bass Gulf of Maine / Cape Hatteras","Morone saxatilis","Northeast U.S. Continental Shelf","MSY-MT","17823","assessment",NA,NA
"NEFSC-SURFMATLC-1965-2008-JACOBSON","SURFMATLC","Atlantic surfclam Mid-Atlantic Coast","Spisula solidissima","Northeast U.S. Continental Shelf",NA,NA,NA,NA,NA
"NEFSC-TILEMATLC-1973-2008-NITSCHKE","TILEMATLC","Tilefish Mid-Atlantic Coast","Lopholatilus chamaeleonticeps","Northeast U.S. Continental Shelf",NA,NA,NA,1997.79629588635,"Schaefer"
"NEFSC-WEAKFISHATLC-1981-2008-STANTON","WEAKFISHATLC","Weakfish Atlantic Coast","Cynoscion regalis","Northeast U.S. Continental Shelf",NA,NA,NA,NA,NA
"NEFSC-WHAKEGBGOM-1963-2007-SOSEBEE","WHAKEGBGOM","White hake Georges Bank / Gulf of Maine","Urophycis tenuis","Northeast U.S. Continental Shelf","MSY-MT","5800","assessment",7057.17423241795,"Schaefer"
"NEFSC-WINDOWGOMGB-1975-2007-HENDRICKSON","WINDOWGOMGB","Windowpane flounder - Gulf of Maine / Georges Bank","Scophthalmus aquosus","Northeast U.S. Continental Shelf","MSY-MT","700","assessment",NA,NA
"NEFSC-WINDOWSNEMATL-1975-2007-HENDRICKSON","WINDOWSNEMATL","Windowpane Southern New England-Mid Atlantic","Scophthalmus aquosus","Northeast U.S. Continental Shelf","MSY-MT","500","assessment",NA,NA
"NEFSC-WINFLOUN5Z-1982-2007-HENDRICKSON","WINFLOUN5Z","Winter Flounder NAFO-5Z","Pseudopleuronectes americanus","Northeast U.S. Continental Shelf","MSY-MT","3500","assessment",2789.72973235628,"Schaefer"
"NEFSC-WINFLOUND5Y-1982-2008-NITSCHKE","WINFLOUND5Y","Winter Flounder NAFO-5Y","Pseudopleuronectes americanus","Northeast U.S. Continental Shelf",NA,NA,NA,NA,NA
"NEFSC-WINFLOUNSNEMATL-1940-2007-TERCEIRO","WINFLOUNSNEMATL","Winter Flounder Southern New England-Mid Atlantic","Pseudopleuronectes americanus","Northeast U.S. Continental Shelf","MSY-MT","9742","assessment",10076.8903801646,"Schaefer"
"NEFSC-WITFLOUN5Y-1982-2008-WIGLEY","WITFLOUN5Y","Witch Flounder NAFO-5Y","Glyptocephalus cynoglossus","Northeast U.S. Continental Shelf","MSY-MT","2352","assessment",NA,NA
"NEFSC-YELLCCODGOM-1935-2008-LEGAULT","YELLCCODGOM","Yellowtail flounder Cape Cod / Gulf of Maine","Limanda ferruginea","Northeast U.S. Continental Shelf","MSY-MT","1720","assessment",NA,NA
"NEFSC-YELLGB-1935-2008-BAUM","YELLGB","Yellowtail flounder Georges Bank","Limanda ferruginea","Northeast U.S. Continental Shelf","MSY-MT","9400","assessment",10018.6135820434,"Schaefer"
"NEFSC-YELLSNEMATL-1935-2008-BAUM","YELLSNEMATL","Yellowtail Flounder Southern New England-Mid Atlantic","Limanda ferruginea","Northeast U.S. Continental Shelf","MSY-MT","6100","assessment",NA,NA
"NIWA-AUSSALMONNZ-1975-2006-JENSEN","AUSSALMONNZ","Australian salmon New Zealand","Arripis trutta","New Zealand Shelf","MSY-MT","3371.82","assessment",2795.87389386698,"Schaefer"
"NIWA-OROUGHYNZMEC-1981-2004-JENSEN","OROUGHYNZMEC","Orange roughy New Zealand Mid East Coast","Hoplostethus atlanticus","New Zealand Shelf","MSY-MT","2598.07907","assessment",4950.77792608624,"Schaefer"
"NMFS-MENATLAN-1940-2005-STANTON","MENATLAN","Atlantic menhaden Atlantic","Brevoortia tyrannus","Northeast U.S. Continental Shelf",NA,NA,NA,410446.142700797,"Schaefer"
"NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH","ARFLOUNDPCOAST","Arrowtooth flounder Pacific Coast","Reinhardtius stomias","California Current","MSY-MT","5844","assessment",4509.76353563904,"Schaefer"
"NWFSC-BGROCKPCOAST-1950-2005-STANTON","BGROCKPCOAST","Blackgill rockfish  Pacific Coast","Sebastes melanostomus","California Current","MSY-MT","223","assessment",NA,NA
"NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH","BLACKROCKNPCOAST","Black rockfish Northern Pacific Coast","Sebastes melanops","California Current","MSY-MT","700","assessment",413.765753131371,"Schaefer"
"NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH","BLACKROCKSPCOAST","Black rockfish Southern Pacific Coast","Sebastes melanops","California Current","MSY-MT","1064.6","assessment",912.693392511429,"Schaefer"
"NWFSC-BLUEROCKCAL-1916-2007-BRANCH","BLUEROCKCAL","Blue rockfish California","Sebastes mystinus","California Current","MSY-MT","275","assessment",NA,NA
"NWFSC-BOCACCSPCOAST-1951-2006-BRANCH","BOCACCSPCOAST","Bocaccio Southern Pacific Coast","Sebastes paucispinis","California Current","MSY-MT","1974","assessment",3769.50887472615,"Schaefer"
"NWFSC-CHILISPCOAST-1892-2007-BRANCH","CHILISPCOAST","Chilipepper Southern Pacific Coast","Sebastes goodei","California Current","MSY-MT","2164","assessment",2170.47214237637,"Schaefer"
"NWFSC-COWCODSCAL-1900-2007-BRANCH","COWCODSCAL","Cowcod Southern California","Sebastes levis","California Current",NA,NA,NA,NA,NA
"NWFSC-CROCKPCOAST-1916-2009-Stachura","CROCKPCOAST","Canary rockfish Pacific Coast","Sebastes pinniger","California Current","MSY-MT","937","assessment",NA,NA
"NWFSC-DKROCKPCOAST-1928-2007-BRANCH","DKROCKPCOAST","Darkblotched rockfish Pacific Coast","Sebastes crameri","California Current","MSY-MT","644","assessment",524.371288895123,"Schaefer"
"NWFSC-ESOLEPCOAST-1876-2007-BRANCH","ESOLEPCOAST","English sole Pacific Coast","Parophrys vetulus","California Current","MSY-MT","4252","assessment",3833.37156840496,"Schaefer"
"NWFSC-KELPGREENLINGORECOAST-1979-2005-STANTON","KELPGREENLINGORECOAST","Kelp greenling Oregon Coast","Hexagrammos decagrammus","California Current","MSY-MT","82","assessment",NA,NA
"NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH","LNOSESKAPCOAST","Longnose skate Pacific Coast","Raja rhina","California Current","MSY-MT","1268","assessment",1460.59621823981,"Schaefer"
"NWFSC-LSTHORNHPCOAST-1962-2005-STANTON","LSTHORNHPCOAST","Longspine thornyhead Pacific Coast","Sebastolobus altivelis","California Current","MSY-MT","3687","assessment",NA,NA
"NWFSC-PHAKEPCOAST-1966-2008-BRANCH","PHAKEPCOAST","Pacific hake Pacific Coast","Merluccius productus","California Current","MSY-MT","476750","assessment",392385.478850071,"Schaefer"
"NWFSC-POPERCHPCOAST-1953-2007-BRANCH","POPERCHPCOAST","Pacific ocean perch Pacific Coast","Sebastes alutus","California Current","MSY-MT","1411","assessment",2732.84918102017,"Schaefer"
"NWFSC-PSOLENPCOAST-1910-2005-STANTON","PSOLENPCOAST","Petrale sole Northern Pacific Coast","Eopsetta jordani","California Current","MSY-MT","1760","assessment",1521.72524532491,"Schaefer"
"NWFSC-PSOLESPCOAST-1874-2005-STANTON","PSOLESPCOAST","Petrale sole Southern Pacific Coast","Eopsetta jordani","California Current","MSY-MT","1404","assessment",1334.48402767249,"Schaefer"
"NWFSC-SABLEFPCOAST-1900-2007-BRANCH","SABLEFPCOAST","Sablefish Pacific Coast","Anoplopoma fimbria","California Current","MSY-MT","6303","assessment",NA,NA
"NWFSC-SSTHORNHPCOAST-1901-2005-STANTON","SSTHORNHPCOAST","Shortspine thornyhead Pacific Coast","Sebastolobus alascanus","California Current","MSY-MT","1720","assessment",NA,NA
"NWFSC-WROCKPCOAST-1955-2006-BRANCH","WROCKPCOAST","Widow rockfish Pacific Coast","Sebastes entomelas","California Current",NA,NA,NA,4533.2753838497,"Schaefer"
"NWFSC-YEYEROCKPCOAST-1923-2006-BRANCH","YEYEROCKPCOAST","Yelloweye rockfish Pacific Coast","Sebastes ruberrimus","California Current","MSY-MT","51.4","assessment",112.224350817512,"Schaefer"
"NWFSC-YTROCKNPCOAST-1967-2005-STANTON","YTROCKNPCOAST","Yellowtail rockfish Northern Pacific Coast","Sebastes flavidus","California Current","MSY-MT","4680","assessment",4273.12205723631,"Schaefer"
"NWWG-CAPEICE-1977-2007-MINTO","CAPEICE","Capelin Iceland","Mallotus villosus","Iceland Shelf",NA,NA,NA,910728.401937508,"Schaefer"
"NWWG-CODFAPL-1959-2006-MINTO","CODFAPL","Atlantic cod Faroe Plateau","Gadus morhua","Faroe Plateau",NA,NA,NA,26795.7882688084,"Schaefer"
"NWWG-CODICE-1952-2006-MINTO","CODICE","Atlantic cod Iceland","Gadus morhua","Iceland Shelf",NA,NA,NA,366957.01689482,"Schaefer"
"NWWG-HADFAPL-1955-2006-MINTO","HADFAPL","Haddock Faroe Plateau","Melanogrammus aeglefinus","Faroe Plateau",NA,NA,NA,18469.9432382072,"Schaefer"
"NWWG-HADICE-1977-2007-MINTO","HADICE","Haddock Iceland","Melanogrammus aeglefinus","Iceland Shelf",NA,NA,NA,87029.2893347584,"Schaefer"
"NWWG-POLLFAPL-1958-2006-MINTO","POLLFAPL","Pollock Faroe Plateau","Pollachius virens","Faroe Plateau",NA,NA,NA,41522.8849995196,"Schaefer"
"NZMFishDEEPWATER-BLACKOREOWECR-1973-2007-JENSEN","BLACKOREOWECR","Black oreo West end of Chatham Rise","Allocyttus niger","New Zealand Shelf","MSY-MT","1947","assessment",NA,NA
"NZMFishDEEPWATER-SMOOTHOREOCR-1979-2006-JENSEN","SMOOTHOREOCR","Smooth oreo Chatham Rise","Pseudocyttus maculatus","New Zealand Shelf","MSY-MT","5132.855","assessment",4652.68615715161,"Schaefer"
"NZMFishDEEPWATER-SMOOTHOREOWECR-1973-2004-JENSEN","SMOOTHOREOWECR","Smooth oreo West end of Chatham Rise","Pseudocyttus maculatus","New Zealand Shelf","MSY-MT","2218.0808","assessment",2467.59679869704,"Schaefer"
"NZMFishHOKIWG-HOKIENZ-1972-2007-FRANCIS","HOKIENZ","Hoki Eastern New Zealand","Macruronus novaezelandiae","New Zealand Shelf",NA,NA,NA,132853.194923097,"Schaefer"
"NZMFishHOKIWG-HOKIWNZ-1972-2007-FRANCIS","HOKIWNZ","Hoki Western New Zealand","Macruronus novaezelandiae","New Zealand Shelf",NA,NA,NA,200787.015326461,"Schaefer"
"NZMFishINSHOREWG-NZSNAPNZ8-1931-2005-JENSEN","NZSNAPNZ8","New Zealand snapper New Zealand Area 8","Chrysophrys auratus","New Zealand Shelf","MSY-MT","2284.7076","assessment",2119.00093602968,"Schaefer"
"NZMFishINSHOREWG-TREVALLYTRE7-1944-2005-JENSEN","TREVALLYTRE7","Trevally New Zealand Areas TRE 7","Pseudocaranx dentex","New Zealand Shelf","MSY-MT","2170.41121","assessment",1829.68664695206,"Schaefer"
"NZMFishLOBSTERWG-RROCKLOBSTERCRA1-1945-2001-JENSEN","RROCKLOBSTERCRA1","Red rock lobster New Zealand area CRA1","Jasus edwardsii","New Zealand Shelf",NA,NA,NA,257.752545835853,"Schaefer"
"NZMFishLOBSTERWG-RROCKLOBSTERCRA2-1945-2001-JENSEN","RROCKLOBSTERCRA2","Red rock lobster New Zealand area CRA2","Jasus edwardsii","New Zealand Shelf",NA,NA,NA,396.271665485145,"Schaefer"
"NZMFishLOBSTERWG-RROCKLOBSTERCRA3-1945-2007-JENSEN","RROCKLOBSTERCRA3","Red rock lobster New Zealand area CRA3","Jasus edwardsii","New Zealand Shelf",NA,NA,NA,NA,NA
"NZMFishLOBSTERWG-RROCKLOBSTERCRA4-1945-2005-JENSEN","RROCKLOBSTERCRA4","Red rock lobster New Zealand area CRA4","Jasus edwardsii","New Zealand Shelf",NA,NA,NA,723.861445172334,"Schaefer"
"NZMFishLOBSTERWG-RROCKLOBSTERCRA5-1945-2002-JENSEN","RROCKLOBSTERCRA5","Red rock lobster New Zealand area CRA5","Jasus edwardsii","New Zealand Shelf",NA,NA,NA,507.552421917418,"Schaefer"
"NZMFishLOBSTERWG-RROCKLOBSTERCRA7-1976-2005-JENSEN","RROCKLOBSTERCRA7","Red rock lobster New Zealand area CRA7","Jasus edwardsii","New Zealand Shelf",NA,NA,NA,321.725919047469,"Schaefer"
"NZMFishLOBSTERWG-RROCKLOBSTERCRA8-1976-2005-JENSEN","RROCKLOBSTERCRA8","Red rock lobster New Zealand area CRA8","Jasus edwardsii","New Zealand Shelf",NA,NA,NA,1869.82477079354,"Schaefer"
"NZMFishMIDDEPTHSWG-GEMFISHNZ-1952-2007-JENSEN","GEMFISHNZ","common gemfish New Zealand","Rexea solandri","New Zealand Shelf","MSY-MT","1432.04273333333","assessment",NA,NA
"NZMFishMIDDEPTHSWG-NZLINGLIN3-4-1972-2007-JENSEN","NZLINGLIN3-4","New Zealand ling New Zealand Areas LIN 3 and 4","Genypterus blacodes","New Zealand Shelf","MSY-MT","9755.2085","assessment",7765.91837750427,"Schaefer"
"NZMFishMIDDEPTHSWG-NZLINGLIN5-6-1972-2007-JENSEN","NZLINGLIN5-6","New Zealand ling New Zealand Areas LIN 5 and 6","Genypterus blacodes","New Zealand Shelf","MSY-MT","20497.974","assessment",12670.0978974748,"Schaefer"
"NZMFishMIDDEPTHSWG-NZLINGLIN6b-1980-2006-JENSEN","NZLINGLIN6b","New Zealand ling New Zealand Area LIN 6b","Genypterus blacodes","New Zealand Shelf","MSY-MT","893.8449","assessment",406.913242772882,"Schaefer"
"NZMFishMIDDEPTHSWG-NZLINGLIN72-1972-2007-JENSEN","NZLINGLIN72","New Zealand ling New Zealand Area LIN 72","Genypterus blacodes","New Zealand Shelf","MSY-MT","515.8919688","assessment",395.875591889463,"Schaefer"
"NZMFishMIDDEPTHSWG-NZLINGLIN7WC-1972-2008-JENSEN","NZLINGLIN7WC","New Zealand ling New Zealand Area LIN 7WC - WCSI","Genypterus blacodes","New Zealand Shelf","MSY-MT","6062.29056","assessment",3857.59804255046,"Schaefer"
"NZMFishMIDDEPTHSWG-SBWHITACIR-1979-2006-JENSEN","SBWHITACIR","Southern blue whiting Campbell Island Rise","Micromesistius australis","New Zealand Shelf","MSY-MT","19276.2356","assessment",17699.6474449652,"Schaefer"
"NZMFishMIDDEPTHSWG-SOUTHHAKECR-1975-2006-JENSEN","SOUTHHAKECR","Southern hake Chatham Rise","Merluccius australis","New Zealand Shelf","MSY-MT","3042.60651","assessment",NA,NA
"NZMFishMIDDEPTHSWG-SOUTHHAKESA-1975-2007-JENSEN","SOUTHHAKESA","Southern hake Sub-Antarctic","Merluccius australis","New Zealand Shelf","MSY-MT","5810.2831","assessment",NA,NA
"NZMFishSHELLFISHWG-PAUAPAU5A-1964-2006-JENSEN","PAUAPAU5A","New Zealand abalone species New Zealand Area PAU 5A","Haliotis iris","New Zealand Shelf",NA,NA,NA,76.9303140696091,"Schaefer"
"NZMFishSHELLFISHWG-PAUAPAU5B-1963-2007-JENSEN","PAUAPAU5B","New Zealand abalone species New Zealand Area PAU 5B","Haliotis iris","New Zealand Shelf",NA,NA,NA,184.030223081834,"Schaefer"
"NZMFishSHELLFISHWG-PAUAPAU5D-1964-2006-JENSEN","PAUAPAU5D","New Zealand abalone species New Zealand Area PAU 5D","Haliotis iris","New Zealand Shelf",NA,NA,NA,119.342797112489,"Schaefer"
"NZMFishSHELLFISHWG-PAUAPAU7-1964-2008-JENSEN","PAUAPAU7","New Zealand abalone species New Zealand Area PAU 7","Haliotis iris","New Zealand Shelf",NA,NA,NA,245.157288884317,"Schaefer"
"PFMC-LINGCODNPCOAST-1956-2005-STANTON","LINGCODNPCOAST","Lingcod Northern Pacific Coast","Ophiodon elongatus","California Current",NA,NA,NA,NA,NA
"PFMC-LINGCODSPCOAST-1956-2005-STANTON","LINGCODSPCOAST","Lingcod Southern Pacific Coast","Ophiodon elongatus","California Current",NA,NA,NA,NA,NA
"RIDEM-LOBSTERRI-1959-2007-COLLIE","LOBSTERRI","American lobster Rhode Island","Homarus americanus","Northeast U.S. Continental Shelf",NA,NA,NA,1848.62980922835,"Schaefer"
"RIDEM-TAUTOGRI-1959-2007-COLLIE","TAUTOGRI","Tautog Rhode Island","Tautoga onitis","Northeast U.S. Continental Shelf","MSY-MT","369.56","assessment",411.290591522889,"Schaefer"
"RIDEM-WINFLOUNDRI-1959-2007-COLLIE","WINFLOUNDRI","Winter flounder Rhode Island","Pseudopleuronectes americanus","Northeast U.S. Continental Shelf",NA,NA,NA,1263.82738135854,"Schaefer"
"SEFSC-BHEADSHARATL-1950-2005-FAUCONNET","BHEADSHARATL","Bonnethead shark Atlantic","Sphyrna tiburo","Southeast U.S. Continental Shelf","MSY-MT","568871","assessment",NA,NA
"SEFSC-BNOSESHARATL-1950-2005-FAUCONNET","BNOSESHARATL","Blacknose shark Atlantic","Carcharhinus acronotus","Southeast U.S. Continental Shelf","MSY-MT","89.415","assessment",NA,NA
"SEFSC-BTIPSHARATL-1981-2004-FAUCONNET","BTIPSHARATL","Blacktip shark Atlantic","Carcharhinus limbatus","Southeast U.S. Continental Shelf","MSY-MT","1.49E+04","assessment",NA,NA
"SEFSC-BTIPSHARGM-1981-2004-FAUCONNET","BTIPSHARGM","Blacktip shark Gulf of Mexico","Carcharhinus limbatus","Gulf of Mexico","MSY-MT","2.42E+04","assessment",NA,NA
"SEFSC-FTOOTHSHARATL-1976-2005-FAUCONNET","FTOOTHSHARATL","Finetooth shark Atlantic","Carcharhinus isodon","Southeast U.S. Continental Shelf","MSY-E00","96000","assessment",NA,NA
"SEFSC-GAGGM-1963-2004-JENSEN","GAGGM","Gag Gulf of Mexico","Mycteroperca microlepis","Gulf of Mexico","MSY-MT","2241.65","assessment",2015.05143477917,"Schaefer"
"SEFSC-GAGSATLC-1962-2005-JENSEN","GAGSATLC","Gag Southern Atlantic coast","Mycteroperca microlepis","Southeast U.S. Continental Shelf","MSY-MT","562","assessment",NA,NA
"SEFSC-GRAMBERGM-1986-2004-JENSEN","GRAMBERGM","Greater amberjack Gulf of Mexico","Seriola dumerili","Gulf of Mexico","MSY-MT","2285.650088","assessment",NA,NA
"SEFSC-GRAMBERSATLC-1946-2006-JENSEN","GRAMBERSATLC","Greater amberjack Southern Atlantic coast","Seriola dumerili","Southeast U.S. Continental Shelf","MSY-MT","909.45","assessment",NA,NA
"SEFSC-GTRIGGM-1981-2004-JENSEN","GTRIGGM","Gray triggerfish Gulf of Mexico","Balistes capriscus","Gulf of Mexico","MSY-MT","743","assessment",NA,NA
"SEFSC-KMACKGM-1992-2001-JENSEN","KMACKGM","King mackerel Gulf of Mexico","Scomberomorus cavalla","Gulf of Mexico","MSY-MT","5178.659864","assessment",NA,NA
"SEFSC-KMACKSATLC-1981-2001-JENSEN","KMACKSATLC","King mackerel Southern Atlantic Coast","Scomberomorus cavalla","Southeast U.S. Continental Shelf","MSY-MT","2576.40","assessment",NA,NA
"SEFSC-MENATGM-1964-2004-GILROY","MENATGM","Gulf menhaden Gulf of Mexico","Brevoortia patronus","Gulf of Mexico",NA,NA,NA,907092.764452244,"Schaefer"
"SEFSC-MUTSNAPSATLCGM-1981-2006-JENSEN","MUTSNAPSATLCGM","Mutton snapper Southern Atlantic coast and Gulf of Mexico","Lutjanus analis","Southeast U.S. Continental Shelf","MSY-MT","688","assessment",NA,NA
"SEFSC-RGROUPGM-1986-2005-JENSEN","RGROUPGM","Red grouper Gulf of Mexico","Epinephelus morio","Gulf of Mexico","MSY-MT","3501.73024","assessment",NA,NA
"SEFSC-RPORGYSATLC-1972-2004-JENSEN","RPORGYSATLC","Red porgy Southern Atlantic coast","Pagrus pagrus","Southeast U.S. Continental Shelf","MSY-MT","283.81","assessment",NA,NA
"SEFSC-RSNAPEGM-1872-2003-STANTON","RSNAPEGM","Red snapper Eastern Gulf of Mexico","Lutjanus campechanus","Gulf of Mexico","MSY-MT","18656.4456137168","assessment",NA,NA
"SEFSC-RSNAPSATLC-1945-2006-JENSEN","RSNAPSATLC","Red snapper Southern Atlantic coast","Lutjanus campechanus","Southeast U.S. Continental Shelf","MSY-MT","1049.61","assessment",NA,NA
"SEFSC-RSNAPWGM-1880-2003-STANTON","RSNAPWGM","Red snapper Western Gulf of Mexico","Lutjanus campechanus","Gulf of Mexico","MSY-MT","18656.4456137168","assessment",NA,NA
"SEFSC-SBARSHARATL-1975-2004-FAUCONNET","SBARSHARATL","Sandbar shark Atlantic","Carcharhinus plumbeus","Scotian Shelf","MSY-MT","403","assessment",NA,NA
"SEFSC-SNOSESHARATL-1950-2005-FAUCONNET","SNOSESHARATL","Atlantic sharpnose shark Atlantic","Rhizoprionodon terraenovae","Southeast U.S. Continental Shelf","MSY-MT","1.27E+06","assessment",NA,NA
"SEFSC-SNOWGROUPSATLC-1961-2002-STANTON","SNOWGROUPSATLC","Snowy grouper Southern Atlantic coast","Epinephelus niveatus","Southeast U.S. Continental Shelf","MSY-MT","142","assessment",NA,NA
"SEFSC-SPANMACKSATLC-1950-2008-JENSEN","SPANMACKSATLC","Spanish mackerel Southern Atlantic Coast","Scomberomorus maculatus","Southeast U.S. Continental Shelf","MSY-MT","5941.60","assessment",6401.57927099359,"Schaefer"
"SEFSC-TILESATLC-1961-2002-STANTON","TILESATLC","Tilefish Southern Atlantic coast","Lopholatilus chamaeleonticeps","Southeast U.S. Continental Shelf","MSY-MT","152.6","assessment",262.854329893937,"Schaefer"
"SEFSC-VSNAPGM-1981-2004-JENSEN","VSNAPGM","Vermilion snapper Gulf of Mexico","Rhomboplites aurorubens","Gulf of Mexico","MSY-MT","3374.72","assessment",NA,NA
"SEFSC-VSNAPSATLC-1946-2008-STANTON","VSNAPSATLC","Vermilion snapper Southern Atlantic coast","Rhomboplites aurorubens","Southeast U.S. Continental Shelf","MSY-MT","755.239045631861","assessment",NA,NA
"SEFSC-YTSNAPSATLC-1962-2001-STANTON","YTSNAPSATLC","Yellowtail snapper Southern Atlantic Coast","Ocyurus chrysurus","Southeast U.S. Continental Shelf","MSY-MT","1366","assessment",NA,NA
"SFI-WPOLLNSO-1985-1994-JENSEN","WPOLLNSO","Walleye pollock Northern Sea of Okhotsk","Theragra chalcogramma","Sea of Okhotsk","MSY-MT","2067000","assessment",NA,NA
"SPC-ALBASPAC-1959-2006-JENSEN","ALBASPAC","Albacore tuna South Pacific Ocean","Thunnus alalunga","Pacific High Seas","MSY-MT","63,830","assessment",NA,NA
"SPC-BIGEYEWPO-1952-2006-JENSEN","BIGEYEWPO","Bigeye tuna Western Pacific Ocean","Thunnus obesus","Pacific High Seas","MSY-MT","64,600","assessment",NA,NA
"SPC-SKJCWPAC-1972-2006-JENSEN","SKJCWPAC","Skipjack tuna Central Western Pacific","Katsuwonus pelamis","Pacific High Seas","MSY-MT","1,279,600","assessment",NA,NA
"SPC-STMARLINSWPO-1950-2003-JENSEN","STMARLINSWPO","Striped marlin Southwestern Pacific Ocean","Kajikia audax","Pacific High Seas","MSY-MT","2465","assessment",NA,NA
"SPC-YFINCWPAC-1952-2005-JENSEN","YFINCWPAC","Yellowfin tuna Central Western Pacific","Thunnus albacares","Pacific High Seas","MSY-MT","400,000","assessment",NA,NA
