                     assessid                     |                              stocklong                               | fpercentreduction 
 NEFSC-BLUEFISHATLC-1981-2007-SHEPHERD            | Bluefish Atlantic Coast                                              |  58.0645161290322
 NEFSC-BUTTERGOMCHATT-1965-2005-OVERHOLTZ         | Atlantic butterfish Gulf of Maine / Cape Hatteras                    |  82.4712643678161
 NEFSC-CODGB-1960-2008-BAUM                       | Atlantic cod Georges Bank                                            |  67.3913043478261
 NEFSC-CODGOM-1893-2008-BAUM                      | Atlantic cod Gulf of Maine                                           |  77.1557271557272
 NEFSC-HAD5Y-1956-2008-BAUM                       | Haddock NAFO-5Y                                                      |  94.3007512032747
 NEFSC-HADGB-1930-2008-BAUM                       | Haddock Georges Bank                                                 |  81.1320754716981
 NEFSC-HERRNWATLC-1960-2005-OVERHOLTZ             | Atlantic herring Northwestern Atlantic Coast                         |  83.3527750155716
 NEFSC-SCUPNWATLC-1960-2007-TERCEIRO              | Scup Atlantic Coast                                                  |  94.5535714285714
 NEFSC-SDOGATLC-1962-2006-SOSEBEE                 | Spiny dogfish Atlantic Coast                                         |  77.0042194092827
 NEFSC-SFLOUNMATLC-1940-2007-BAUM                 | Summer flounder Mid-Atlantic Coast                                   |  72.3310479921645
 NEFSC-WINFLOUN5Z-1982-2007-HENDRICKSON           | Winter Flounder NAFO-5Z                                              |  69.5652173913043
 NEFSC-WINFLOUNSNEMATL-1940-2007-TERCEIRO         | Winter Flounder Southern New England-Mid Atlantic                    |  34.7738693467337
 NEFSC-WITFLOUN5Y-1982-2008-WIGLEY                | Witch Flounder NAFO-5Y                                               |  64.1975308641975
 NEFSC-YELLGB-1935-2008-BAUM                      | Yellowtail flounder Georges Bank                                     |  72.1311475409836
 NEFSC-YELLSNEMATL-1935-2008-BAUM                 | Yellowtail Flounder Southern New England-Mid Atlantic                |  87.5776397515528
 NIWA-AUSSALMONNZ-1975-2006-JENSEN                | Australian salmon New Zealand                                        |  62.3041474654378
 NIWA-OROUGHYNZMEC-1981-2004-JENSEN               | Orange roughy New Zealand Mid East Coast                             |  91.3901478881853
 NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH            | Arrowtooth flounder Pacific Coast                                    |  63.3663366336634
 NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH          | Black rockfish Northern Pacific Coast                                |  76.0416666666667
 NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH          | Black rockfish Southern Pacific Coast                                |  65.9574468085106
 NWFSC-BLUEROCKCAL-1916-2007-BRANCH               | Blue rockfish California                                             |           85.9375
 NWFSC-BOCACCSPCOAST-1951-2006-BRANCH             | Bocaccio Southern Pacific Coast                                      |  99.1452991452991
 NWFSC-CHILISPCOAST-1892-2007-BRANCH              | Chilipepper Southern Pacific Coast                                   |  99.2481203007519
 NWFSC-COWCODSCAL-1900-2007-BRANCH                | Cowcod Southern California                                           |  93.6082474226804
 NWFSC-CROCKPCOAST-1916-2007-BRANCH               | Canary rockfish Pacific Coast                                        |  98.9690721649485
 NWFSC-DKROCKPCOAST-1928-2007-BRANCH              | Darkblotched rockfish Pacific Coast                                  |  92.4623115577889
 NWFSC-ESOLEPCOAST-1876-2007-BRANCH               | English sole Pacific Coast                                           |  45.4545454545455
 NWFSC-KELPGREENLINGORECOAST-1979-2005-STANTON    | Kelp greenling Oregon Coast                                          |  61.5428232754808
 NWFSC-PHAKEPCOAST-1966-2008-BRANCH               | Pacific hake Pacific Coast                                           |  70.8661417322835
 NWFSC-POPERCHPCOAST-1953-2007-BRANCH             | Pacific ocean perch Pacific Coast                                    |  96.3414634146341
 NWFSC-SABLEFPCOAST-1900-2007-BRANCH              | Sablefish Pacific Coast                                              |  51.1111111111111
 NWFSC-WROCKPCOAST-1955-2006-BRANCH               | Widow rockfish Pacific Coast                                         |  98.3050847457627
 NWFSC-YEYEROCKPCOAST-1923-2006-BRANCH            | Yelloweye rockfish Pacific Coast                                     |  95.2095808383233
 NWWG-CODFAPL-1959-2006-MINTO                     | Atlantic cod Faroe Plateau                                           |   47.477455520351
 NWWG-CODICE-1952-2006-MINTO                      | Atlantic cod Iceland                                                 |  43.3333333333333
 NWWG-HADFAPL-1955-2006-MINTO                     | Haddock Faroe Plateau                                                |  64.9186602870813
 NWWG-HADICE-1977-2007-MINTO                      | Haddock Iceland                                                      |  42.4396442185515
 NZMFishDEEPWATER-BLACKOREOWECR-1973-2007-JENSEN  | Black oreo West end of Chatham Rise                                  |  62.6849376381813
 NZMFishDEEPWATER-SMOOTHOREOWECR-1973-2004-JENSEN | Smooth oreo West end of Chatham Rise                                 |  75.1368926686397
 NZMFishHOKIWG-HOKIENZ-1972-2007-FRANCIS          | Hoki Eastern New Zealand                                             |   46.244635193133
 NZMFishHOKIWG-HOKIWNZ-1972-2007-FRANCIS          | Hoki Western New Zealand                                             |  42.9146832662029
 NZMFishINSHOREWG-NZSNAPNZ8-1931-2005-JENSEN      | New Zealand snapper New Zealand Area 8                               |  67.0005364814382
 NZMFishINSHOREWG-TREVALLYTRE7-1944-2005-JENSEN   | Trevally New Zealand Areas TRE 7                                     |  23.5248763263166
 NZMFishMIDDEPTHSWG-GEMFISHNZ-1952-2007-JENSEN    | common gemfish New Zealand                                           |  41.9271313176319
 NZMFishMIDDEPTHSWG-SBWHITACIR-1979-2006-JENSEN   | Southern blue whiting Campbell Island Rise                           |  84.9638788695331
 NZMFishMIDDEPTHSWG-SOUTHHAKECR-1975-2006-JENSEN  | Southern hake Chatham Rise                                           |  84.2745418570268
 NZMFishSHELLFISHWG-PAUAPAU5A-1964-2006-JENSEN    | New Zealand abalone species New Zealand Area PAU 5A                  |  85.5722794863702
 NZMFishSHELLFISHWG-PAUAPAU5B-1963-2007-JENSEN    | New Zealand abalone species New Zealand Area PAU 5B                  |  66.8993380392605
 NZMFishSHELLFISHWG-PAUAPAU5D-1964-2006-JENSEN    | New Zealand abalone species New Zealand Area PAU 5D                  |  34.9190766677286
