sauptaxonkey,saupname,scientificname,commonname,areaname,primarylme,assessid,tsyear,total,total_unit,ssb,ssb_unit,catch_landings,catch_landings_unit
604250,"Pleuronectes quadrituberculatus","Pleuronectes quadrituberculatus","Alaska plaice","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1991,1237030,"MT",369813,"MT",15003,"MT"
604250,"Pleuronectes quadrituberculatus","Pleuronectes quadrituberculatus","Alaska plaice","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1992,1204320,"MT",350450,"MT",18074,"MT"
604250,"Pleuronectes quadrituberculatus","Pleuronectes quadrituberculatus","Alaska plaice","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1993,1194400,"MT",333477,"MT",13846,"MT"
604250,"Pleuronectes quadrituberculatus","Pleuronectes quadrituberculatus","Alaska plaice","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1994,1182570,"MT",323936,"MT",10882,"MT"
604250,"Pleuronectes quadrituberculatus","Pleuronectes quadrituberculatus","Alaska plaice","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1995,1165200,"MT",318627,"MT",19172,"MT"
604250,"Pleuronectes quadrituberculatus","Pleuronectes quadrituberculatus","Alaska plaice","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1996,1137060,"MT",310472,"MT",16096,"MT"
604250,"Pleuronectes quadrituberculatus","Pleuronectes quadrituberculatus","Alaska plaice","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1997,1099280,"MT",307622,"MT",21236,"MT"
604250,"Pleuronectes quadrituberculatus","Pleuronectes quadrituberculatus","Alaska plaice","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1998,1065360,"MT",300812,"MT",14296,"MT"
604250,"Pleuronectes quadrituberculatus","Pleuronectes quadrituberculatus","Alaska plaice","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1999,1037760,"MT",300783,"MT",13997,"MT"
604250,"Pleuronectes quadrituberculatus","Pleuronectes quadrituberculatus","Alaska plaice","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",2000,1021130,"MT",295967,"MT",14487,"MT"
604250,"Pleuronectes quadrituberculatus","Pleuronectes quadrituberculatus","Alaska plaice","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",2001,1033790,"MT",292180,"MT",8685,"MT"
604250,"Pleuronectes quadrituberculatus","Pleuronectes quadrituberculatus","Alaska plaice","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",2002,1066910,"MT",284077,"MT",12176,"MT"
604250,"Pleuronectes quadrituberculatus","Pleuronectes quadrituberculatus","Alaska plaice","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",2003,1181750,"MT",275286,"MT",9978,"MT"
604250,"Pleuronectes quadrituberculatus","Pleuronectes quadrituberculatus","Alaska plaice","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",2004,1361180,"MT",267245,"MT",7572,"MT"
604250,"Pleuronectes quadrituberculatus","Pleuronectes quadrituberculatus","Alaska plaice","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",2005,1479680,"MT",265295,"MT",11079,"MT"
604250,"Pleuronectes quadrituberculatus","Pleuronectes quadrituberculatus","Alaska plaice","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",2006,1550420,"MT",268379,"MT",17202,"MT"
604250,"Pleuronectes quadrituberculatus","Pleuronectes quadrituberculatus","Alaska plaice","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",2007,1562280,"MT",284426,"MT",19427,"MT"
604250,"Pleuronectes quadrituberculatus","Pleuronectes quadrituberculatus","Alaska plaice","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",2008,1537920,"MT",318176,"MT",,"MT"
600517,"Atheresthes stomias","Reinhardtius stomias","Arrowtooth flounder","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1976,251434,"MT",158781,"MT",19176,"MT"
600517,"Atheresthes stomias","Reinhardtius stomias","Arrowtooth flounder","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1977,248550,"MT",157687,"MT",11489,"MT"
600517,"Atheresthes stomias","Reinhardtius stomias","Arrowtooth flounder","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1978,255523,"MT",167314,"MT",10140,"MT"
600517,"Atheresthes stomias","Reinhardtius stomias","Arrowtooth flounder","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1979,265676,"MT",174482,"MT",14357,"MT"
600517,"Atheresthes stomias","Reinhardtius stomias","Arrowtooth flounder","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1980,271974,"MT",173514,"MT",18364,"MT"
600517,"Atheresthes stomias","Reinhardtius stomias","Arrowtooth flounder","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1981,278414,"MT",173256,"MT",17113,"MT"
600517,"Atheresthes stomias","Reinhardtius stomias","Arrowtooth flounder","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1982,287306,"MT",177675,"MT",11518,"MT"
600517,"Atheresthes stomias","Reinhardtius stomias","Arrowtooth flounder","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1983,306042,"MT",187094,"MT",13969,"MT"
600517,"Atheresthes stomias","Reinhardtius stomias","Arrowtooth flounder","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1984,324760,"MT",194330,"MT",9452,"MT"
600517,"Atheresthes stomias","Reinhardtius stomias","Arrowtooth flounder","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1985,347781,"MT",213962,"MT",7447,"MT"
600517,"Atheresthes stomias","Reinhardtius stomias","Arrowtooth flounder","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1986,374697,"MT",240468,"MT",7181,"MT"
600517,"Atheresthes stomias","Reinhardtius stomias","Arrowtooth flounder","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1987,409525,"MT",256850,"MT",4859,"MT"
600517,"Atheresthes stomias","Reinhardtius stomias","Arrowtooth flounder","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1988,449340,"MT",276549,"MT",19990,"MT"
600517,"Atheresthes stomias","Reinhardtius stomias","Arrowtooth flounder","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1989,482729,"MT",289764,"MT",7306,"MT"
600517,"Atheresthes stomias","Reinhardtius stomias","Arrowtooth flounder","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1990,531932,"MT",312459,"MT",13058,"MT"
600517,"Atheresthes stomias","Reinhardtius stomias","Arrowtooth flounder","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1991,573663,"MT",343049,"MT",22052,"MT"
600517,"Atheresthes stomias","Reinhardtius stomias","Arrowtooth flounder","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1992,600869,"MT",383001,"MT",10382,"MT"
600517,"Atheresthes stomias","Reinhardtius stomias","Arrowtooth flounder","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1993,632893,"MT",426976,"MT",9338,"MT"
