"Kingdom","Phylum","Class","Order","Family","Genus","Species","LME#"
"Animalia","Chordata","Cephalaspidomorphi (lampreys)","Petromyzontiformes","Petromyzontidae","Mordacia","lapicida",1
"Animalia","Chordata","Cephalaspidomorphi (lampreys)","Petromyzontiformes","Petromyzontidae","Mordacia","mordax",2
"Animalia","Chordata","Cephalaspidomorphi (lampreys)","Petromyzontiformes","Petromyzontidae","Petromyzon","marinus",18
"Animalia","Chordata","Holocephali (chimaeras)","Chimaeriformes","Callorhinchidae","Callorhinchus","callorynchus",2
"Animalia","Chordata","Holocephali (chimaeras)","Chimaeriformes","Callorhinchidae","Callorhinchus","capensis",1
"Animalia","Chordata","Holocephali (chimaeras)","Chimaeriformes","Callorhinchidae","Callorhinchus","milii",4
"Animalia","Chordata","Holocephali (chimaeras)","Chimaeriformes","Chimaeridae","Chimaera","cubana",1
"Animalia","Chordata","Holocephali (chimaeras)","Chimaeriformes","Chimaeridae","Chimaera","jordani",1
"Animalia","Chordata","Holocephali (chimaeras)","Chimaeriformes","Chimaeridae","Chimaera","monstrosa",9
"Animalia","Chordata","Holocephali (chimaeras)","Chimaeriformes","Chimaeridae","Chimaera","panthera",1
"Animalia","Chordata","Holocephali (chimaeras)","Chimaeriformes","Chimaeridae","Chimaera","phantasma",4
"Animalia","Chordata","Holocephali (chimaeras)","Chimaeriformes","Chimaeridae","Hydrolagus","affinis",7
"Animalia","Chordata","Holocephali (chimaeras)","Chimaeriformes","Chimaeridae","Hydrolagus","africanus",2
"Animalia","Chordata","Holocephali (chimaeras)","Chimaeriformes","Chimaeridae","Hydrolagus","alberti",4
"Animalia","Chordata","Holocephali (chimaeras)","Chimaeriformes","Chimaeridae","Hydrolagus","colliei",3
"Animalia","Chordata","Holocephali (chimaeras)","Chimaeriformes","Chimaeridae","Hydrolagus","deani",1
"Animalia","Chordata","Holocephali (chimaeras)","Chimaeriformes","Chimaeridae","Hydrolagus","lemures",1
"Animalia","Chordata","Holocephali (chimaeras)","Chimaeriformes","Chimaeridae","Hydrolagus","macrophthalmus",1
"Animalia","Chordata","Holocephali (chimaeras)","Chimaeriformes","Chimaeridae","Hydrolagus","mirabilis",8
"Animalia","Chordata","Holocephali (chimaeras)","Chimaeriformes","Chimaeridae","Hydrolagus","novaezealandiae",1
"Animalia","Chordata","Holocephali (chimaeras)","Chimaeriformes","Chimaeridae","Hydrolagus","ogilbyi",1
"Animalia","Chordata","Holocephali (chimaeras)","Chimaeriformes","Chimaeridae","Hydrolagus","purpurescens",2
"Animalia","Chordata","Holocephali (chimaeras)","Chimaeriformes","Rhinochimaeridae","Harriotta","haeckeli",3
"Animalia","Chordata","Holocephali (chimaeras)","Chimaeriformes","Rhinochimaeridae","Harriotta","raleighana",13
