"stock" "scientificname" "timespan" "nyrscatch" "nyrsssb" "nyrsr"
"136" "Black rockfish Southern Pacific Coast" "Sebastes melanops" "1915-2007" 91 92 92
"137" "Blue rockfish California" "Sebastes mystinus" "1916-2007" 91 91 91
"138" "Bocaccio Southern Pacific Coast" "Sebastes paucispinis" "1951-2006" 55 55 54
"139" "Chilipepper Southern Pacific Coast" "Sebastes goodei" "1892-2007" 114 115 115
"140" "Cowcod Southern California" "Sebastes levis" "1900-2007" 107 107 107
"141" "Canary rockfish Pacific Coast" "Sebastes pinniger" "1916-2007" 90 91 91
"142" "Darkblotched rockfish Pacific Coast" "Sebastes crameri" "1928-2007" 78 79 79
"143" "English sole Pacific Coast" "Parophrys vetulus" "1876-2007" 130 131 131
"144" "Kelp greenling Oregon Coast" "Hexagrammos decagrammus" "1979-2005" 24 26 26
"145" "Longnose skate Pacific Coast" "Raja rhina" "1915-2007" 92 92 92
"146" "Longspine thornyhead Pacific Coast" "Sebastolobus altivelis" "1962-2005" 40 41 41
"147" "Pacific hake Pacific Coast" "Merluccius productus" "1966-2008" 41 42 42
"148" "Pacific ocean perch Pacific Coast" "Sebastes alutus" "1953-2007" 50 51 50
"149" "Petrale sole Northern Pacific Coast" "Eopsetta jordani" "1910-2005" 94 95 95
"150" "Petrale sole Southern Pacific Coast" "Eopsetta jordani" "1874-2005" 128 131 131
"151" "Sablefish Pacific Coast" "Anoplopoma fimbria" "1900-2007" 107 107 107
"152" "Shortspine thornyhead Pacific Coast" "Sebastolobus alascanus" "1901-2005" 42 104 104
"153" "Widow rockfish Pacific Coast" "Sebastes entomelas" "1955-2006" 48 48 48
"154" "Yelloweye rockfish Pacific Coast" "Sebastes ruberrimus" "1923-2006" 83 83 83
"155" "Yellowtail rockfish Northern Pacific Coast" "Sebastes flavidus" "1967-2005" 38 38 38
"156" "Capelin Iceland" "Mallotus villosus" "1977-2007" 29 28 28
"157" "Atlantic cod Faroe Plateau" "Gadus morhua" "1959-2006" 45 45 45
"158" "Atlantic cod Iceland" "Gadus morhua" "1952-2006" 51 51 51
"159" "Haddock Faroe Plateau" "Melanogrammus aeglefinus" "1955-2006" 49 49 49
"160" "Haddock Iceland" "Melanogrammus aeglefinus" "1977-2007" 28 28 28
"161" "Pollock Faroe Plateau" "Pollachius virens" "1958-2006" 45 45 45
"162" "Black oreo West end of Chatham Rise" "Allocyttus niger" "1973-2007" 34 34 33
"163" "Smooth oreo Chatham Rise" "Pseudocyttus maculatus" "1979-2006" 27 27 22
"164" "Smooth oreo West end of Chatham Rise" "Pseudocyttus maculatus" "1973-2004" 31 31 26
"165" "Hoki Eastern New Zealand" "Macruronus novaezelandiae" "1972-2007" 35 35 35
"166" "Hoki Western New Zealand" "Macruronus novaezelandiae" "1972-2007" 35 35 35
"167" "New Zealand snapper New Zealand Area 8" "Chrysophrys auratus" "1931-2005" 74 74 29
"168" "Trevally New Zealand Areas TRE 7" "Pseudocaranx dentex" "1944-2005" 61 61 60
"169" "common gemfish New Zealand" "Rexea solandri" "1952-2007" 54 54 53
"170" "New Zealand ling New Zealand Areas LIN 3 and 4" "Genypterus blacodes" "1972-2007" 35 35 31
"171" "New Zealand ling New Zealand Areas LIN 5 and 6" "Genypterus blacodes" "1972-2007" 35 35 32
"172" "New Zealand ling New Zealand Area LIN 6b" "Genypterus blacodes" "1980-2006" 26 26 22
"173" "New Zealand ling New Zealand Area LIN 72" "Genypterus blacodes" "1972-2007" 35 35 32
"174" "New Zealand ling New Zealand Area LIN 7WC - WCSI" "Genypterus blacodes" "1972-2008" 36 36 33
"175" "Southern blue whiting Campbell Island Rise" "Micromesistius australis" "1979-2006" 27 27 25
"176" "Southern hake Chatham Rise" "Merluccius australis" "1975-2006" 31 31 30
"177" "Southern hake Sub-Antarctic" "Merluccius australis" "1975-2007" 32 32 31
"178" "Lingcod Northern Pacific Coast" "Ophiodon elongatus" "1956-2005" 48 49 49
"179" "Lingcod Southern Pacific Coast" "Ophiodon elongatus" "1956-2005" 48 49 49
"180" "Gag Gulf of Mexico" "Mycteroperca microlepis" "1963-2004" 41 41 40
"181" "King mackerel Gulf of Mexico" "Scomberomorus cavalla" "1992-2001" 9 9 9
"182" "King mackerel Southern Atlantic Coast" "Scomberomorus cavalla" "1981-2001" 20 9 9
"183" "Gulf menhaden Gulf of Mexico" "Brevoortia patronus" "1964-2004" 40 40 40
"184" "Red porgy Southern Atlantic coast" "Pagrus pagrus" "1972-2004" 32 32 32
"185" "Red snapper Eastern Gulf of Mexico" "Lutjanus campechanus" "1872-2003" 131 43 19
"186" "Red snapper Western Gulf of Mexico" "Lutjanus campechanus" "1880-2003" 123 19 19
"187" "Snowy grouper Southern Atlantic coast" "Epinephelus niveatus" "1961-2002" 40 41 41
"188" "Spanish mackerel Southern Atlantic Coast" "Scomberomorus maculatus" "1950-2008" 57 57 58
"189" "Tilefish Southern Atlantic coast" "Lopholatilus chamaeleonticeps" "1961-2002" 40 41 41
"190" "Vermilion snapper Gulf of Mexico" "Rhomboplites aurorubens" "1981-2004" 23 23 22
"191" "Vermilion snapper Southern Atlantic coast" "Rhomboplites aurorubens" "1946-2008" 49 61 62
"192" "Yellowtail snapper Southern Atlantic Coast and Gulf of Mexico" "Ocyurus chrysurus" "1962-2001" 39 20 20
"193" "Albacore tuna South Pacific Ocean" "Thunnus alalunga" "1959-2006" 47 47 47
"194" "Bigeye tuna Western Pacific Ocean" "Thunnus obesus" "1952-2006" 54 54 51
"195" "Skipjack tuna Central Western Pacific" "Katsuwonus pelamis" "1972-2006" 34 34 34
"196" "Yellowfin tuna Central Western Pacific" "Thunnus albacares" "1952-2005" 53 53 52
"197" "Pacific chub mackerel Pacific Coast" "Scomber japonicus" "1929-2008" 79 79 78
"198" "Dover sole Pacific Coast" "Microstomus pacificus" "1910-2005" 94 95 95
"199" "Gopher rockfish Southern Pacific Coast" "Sebastes carnatus" "1965-2005" 39 40 40
"200" "Pacific sardine Pacific Coast" "Sardinops sagax" "1981-2007" 9 26 26
"201" "Shortbelly rockfish Pacific Coast" "Sebastes jordani" "1950-2005" 55 55 55
"202" "Starry flounder Northern Pacific Coast" "Platichthys stellatus" "1970-2005" 34 35 35
"203" "Starry flounder Southern Pacific Coast" "Platichthys stellatus" "1970-2005" 34 35 35
"204" "Tasmanian giant crab Tasmania" "Pseudocarcinus gigas" "1990-2007" 17 17 17
"205" "Atlantic cod Baltic Areas 22 and 24" "Gadus morhua" "1969-2007" 36 37 37
"206" "Atlantic cod Baltic Areas 25-32" "Gadus morhua" "1964-2007" 41 40 41
"207" "Atlantic cod Kattegat" "Gadus morhua" "1970-2006" 35 35 35
"208" "Herring ICES 25-32" "Clupea harengus" "1973-2006" 32 32 32
"209" "Herring ICES 30" "Clupea harengus" "1972-2007" 33 33 34
"210" "Herring ICES 31" "Clupea harengus" "1979-2006" 26 26 26
"211" "Herring Iceland (Summer spawners)" "Clupea harengus" "1983-2007" 20 21 21
"212" "Herring ICES 28" "Clupea harengus" "1976-2007" 29 30 30
"213" "common European sole ICES Kattegat and Skagerrak" "Solea vulgaris" "1982-2007" 22 23 23
"214" "Sprat ICES Baltic Areas 22-32" "Sprattus sprattus" "1973-2007" 32 33 33
"215" "Fourspotted megrim ICES VIIIc-IXa" "Lepidorhombus boscii" "1986-2006" 20 20 20
"216" "Hake Northeast Atlantic North" "Merluccius merluccius" "1977-2007" 27 28 28
"217" "Hake Northeast Atlantic South" "Merluccius merluccius" "1982-2007" 25 25 25
"218" "Megrim ICES VIIIc-IXa" "Lepidorhombus whiffiagonis" "1985-2007" 20 20 20
"219" "common European sole Bay of Biscay" "Solea vulgaris" "1982-2006" 22 22 22
"220" "Anchovy ICES VIII" "Engraulis encrasicolus" "1986-2007" 19 20 20
"221" "Mackerel ICES Northeast Atlantic" "Scomber scombrus" "1972-2007" 34 34 34
"222" "European pilchard ICES VIIIc-IXa" "Sardina pilchardus" "1978-2007" 28 29 29
"223" "Whiting Northeast Atlantic" "Micromesistius poutassou" "1980-2007" 25 26 26
"224" "Atlantic cod Irish Sea" "Gadus morhua" "1968-2006" 38 38 38
"225" "Atlantic cod West of Scotland" "Gadus morhua" "1977-2006" 28 28 28
"226" "Haddock Irish Sea" "Melanogrammus aeglefinus" "1972-2006" 34 14 15
"227" "Haddock West of Scotland" "Melanogrammus aeglefinus" "1977-2006" 28 28 28
"228" "European Plaice Irish Sea" "Pleuronectes platessa" "1962-2006" 42 42 42
"229" "common European sole Irish Sea" "Solea vulgaris" "1968-2006" 36 36 36
"230" "Atlantic cod North Sea" "Gadus morhua" "1962-2007" 43 44 43
"231" "Haddock ICES IIIa and North Sea" "Melanogrammus aeglefinus" "1963-2006" 43 43 43
"232" "Haddock Rockall Bank" "Melanogrammus aeglefinus" "1990-2007" 15 16 16
"233" "Norway pout North Sea" "Trisopterus esmarkii" "1983-2007" 23 24 24
"234" "European Plaice ICES VIId" "Pleuronectes platessa" "1979-2006" 26 26 26
"235" "European Plaice ICES IIIa" "Pleuronectes platessa" "1976-2006" 28 28 28
"236" "European Plaice North Sea" "Pleuronectes platessa" "1956-2006" 49 49 49
"237" "Pollock ICES IIIa, VI and North Sea" "Pollachius virens" "1964-2006" 39 39 39
"238" "Sandeel North Sea" "Ammodytes marinus" "1983-2007" 24 24 23
"239" "common European sole North Sea" "Solea vulgaris" "1956-2006" 49 49 49
"240" "common European sole ICES VIId" "Solea vulgaris" "1981-2006" 24 24 24
"241" "Whiting ICES IIIa, VIId and North Sea" "Merlangius merlangus" "1979-2006" 26 26 26
"242" "Haddock ICES VIIb-k" "Melanogrammus aeglefinus" "1993-2006" 13 13 13
"243" "European Plaice ICES VIIf-g" "Pleuronectes platessa" "1976-2006" 29 29 29
"244" "European Plaice ICES VIIe" "Pleuronectes platessa" "1975-2006" 30 30 30
"245" "common European sole Celtic Sea" "Solea vulgaris" "1970-2006" 35 35 35
"246" "common European sole Western English Channel" "Solea vulgaris" "1968-2006" 37 37 37
"247" "Whiting ICES VIIe-k" "Merlangius merlangus" "1982-2007" 24 24 24
