"","StockID","Area","Commonname","Scientificname","Category","type","ratio1992","ratiocurrent","mcontpre","mcontpost","mpre","mpost","msspre","msspost"
"173","SOLEVIIe","Western English Channel","common European sole","Solea vulgaris","Demersal","*",0.61,0.51,-5e-04,-0.0292,0.0082,-0.0108,-0.0034,-0.0149
"174","SOUTHHAKECR","Chatham Rise","Southern hake","Merluccius australis","Demersal"," ",5.18,1.77,0.0102,-0.069,0.0139,-0.0648,0.0044,-0.0768
"175","SOUTHHAKESA","Sub-Antarctic","Southern hake","Merluccius australis","Demersal"," ",5.47,2.91,0.013,-0.0495,0.0267,-0.0358,0.0103,-0.0421
"176","SPANMACKSATLC","Southern Atlantic coast","Spanish mackerel","Scomberomorus maculatus","Pelagic"," ",0.25,0.38,-0.0388,0.0566,-0.043,0.03,-0.0373,0.0282
"177","SPRAT22-32","Baltic Areas 22-32","Sprat","Sprattus sprattus","Pelagic","*",1.15,1.13,0.029,0.044,-0.0229,-0.0144,0.014,0.0097
"178","SSTHORNHPCOAST","Pacific Coast","Shortspine thornyhead","Sebastolobus alascanus","Demersal"," ",1.73,1.57,-0.003,-0.0286,-0.0025,-0.0064,-0.0041,-0.0074
"179","STFLOUNNPCOAST","Northern Pacific Coast","Starry flounder","Platichthys stellatus","Demersal"," ",4.16,1.1,0.0498,-0.0333,0.0279,-0.0815,0.0448,-0.1024
"180","STFLOUNSPCOAST","Southern Pacific Coast","Starry flounder","Platichthys stellatus","Demersal"," ",1.79,1.55,0.019,-0.0069,0.0334,0.0246,0.0055,-0.0114
"181","STRIPEDBASSGOMCHATT","Gulf of Maine / Cape Hatteras","Striped bass","Morone saxatilis","Demersal",NA,NA,NA,0.2426,0.0892,0.1807,0.066,0.206,0.0651
"182","SWHITSE","Southeast Australia","School whiting","Sillago flindersi","Demersal"," ",0.99,0.66,-0.0138,-0.0461,-0.0136,-0.0446,-0.0162,-0.0265
"183","SWORDNATL","Northern Atlantic","Swordfish","Xiphias gladius","Pelagic","*",0.91,1.03,-0.0685,-0.0018,-0.0622,0.0036,-0.0479,0.0115
"184","TIGERFLATSE","Southeast Australia","Tiger flathead","Neoplatycephalus richardsoni","Demersal"," ",2.24,1.99,-0.0138,0.106,-0.018,-0.0038,-0.0094,-0.0086
"185","TILESATLC","Southern Atlantic coast","Tilefish","Lopholatilus chamaeleonticeps","Demersal"," ",1.08,0.9,-0.0401,-0.0226,-0.0367,0.0017,-0.0349,-0.0075
"186","TREVALLYTRE7","New Zealand Areas TRE 7","Trevally","Pseudocaranx dentex","Demersal"," ",1.85,1.44,-0.0211,-0.0096,-0.0223,-0.023,-0.0144,-0.0193
"187","VSNAPGM","Gulf of Mexico","Vermilion snapper","Rhomboplites aurorubens","Demersal",NA,NA,NA,-0.0192,-0.0432,0.0152,-0.0224,-0.0077,-0.0363
"188","VSNAPSATLC","Southern Atlantic coast","Vermilion snapper","Rhomboplites aurorubens","Demersal"," ",1.12,0.86,-0.0242,-0.0199,-0.0243,-0.0209,-0.0239,-0.0197
"189","WEAKFISHATLC","Atlantic Coast","Weakfish","Cynoscion regalis","Demersal"," ",7.07,0.79,-0.0379,-0.1393,-0.0597,-0.1488,-0.0611,-0.1373
"190","WHAKEGBGOM","Gulf of Maine / Georges Bank","White hake","Urophycis tenuis","Demersal"," ",0.56,0.35,0.0018,-0.0776,0.0189,-0.0266,0.0131,-0.0306
"191","WHITNS-VIId-IIIa","IIIa, VIId and North Sea","Whiting","Merlangius merlangus","Demersal","*",0.89,0.33,-0.0428,-0.0543,-0.0464,-0.0563,-0.0557,-0.0718
"192","WHITVIIek","Celtic Sea","Whiting","Merlangius merlangus","Demersal","*",0.79,0.44,0.1253,-0.0294,0.0679,-0.0509,0.0713,-0.0221
"193","WINFLOUN5Z","Georges Bank","Winter flounder","Pseudopleuronectes americanus","Demersal"," ",0.33,0.28,-0.0969,0.032,-0.1025,0.0299,-0.1103,-0.0116
"194","WINFLOUNSNEMATL","Southern New England /Mid Atlantic","Winter flounder","Pseudopleuronectes americanus","Demersal"," ",0.09,0.09,-0.1354,-0.0099,-0.1311,-0.0081,-0.1305,-0.0029
"195","WITFLOUN5Y","Gulf of Maine","Witch flounder","Glyptocephalus cynoglossus","Demersal"," ",0.62,0.3,-0.0984,-0.0125,-0.0985,-0.0125,-0.0716,-0.048
"196","WPOLLAI","Aleutian Islands","Walleye pollock","Theragra chalcogramma","Demersal"," ",2.23,0.86,-0.0554,-0.0938,0.0239,-0.0466,-0.0171,-0.0596
"197","WPOLLEBS","Eastern Bering Sea","Walleye pollock","Theragra chalcogramma","Demersal"," ",1.11,0.66,0.0627,-0.033,0.0636,-0.0307,0.0491,-0.0324
"198","WPOLLGA","Gulf of Alaska","Walleye pollock","Theragra chalcogramma","Demersal"," ",1.45,0.77,-0.0414,-0.0662,-0.0308,-0.0589,-0.0422,-0.0393
"199","WROCKPCOAST","Pacific Coast","Widow rockfish","Sebastes entomelas","Demersal","*",0.96,0.91,-0.0248,-0.0416,-0.0202,-0.0198,-0.0217,-0.0144
"200","YELLGB","Georges Bank","Yellowtail flounder","Limanda ferruginea","Demersal"," ",0.1,0.22,-0.0742,0.072,-0.0947,0.0462,-0.0664,0.0504
"201","YELLSNEMATL","Southern New England /Mid Atlantic","Yellowtail flounder","Limanda ferruginea","Demersal"," ",0.06,0.13,-0.1046,-0.0357,-0.0497,0.0334,-0.1027,0.0476
"202","YEYEROCKPCOAST","Pacific Coast","Yelloweye rockfish","Sebastes ruberrimus","Demersal","*",0.66,0.38,-0.018,-0.1088,-0.0138,-0.0268,-0.021,-0.0297
"203","YFINATL","Atlantic","Yellowfin tuna","Thunnus albacares","Pelagic"," ",1.79,1.07,-0.0065,-0.0358,-0.0077,-0.0382,-0.0178,-0.037
"204","YFINCWPAC","Central Western Pacific","Yellowfin tuna","Thunnus albacares","Pelagic"," ",2.38,1.22,-0.0125,-0.0549,-0.0136,-0.0628,-0.0094,-0.0513
"205","YFINEPAC","Northeast Pacific","Yellowfin tuna","Thunnus albacares","Pelagic",NA,NA,NA,0.0389,-0.0084,0.0307,-0.0166,-0.0067,-0.0204
"206","YSOLEBSAI","Bering Sea and Aleutian Islands","Yellowfin sole","Limanda aspera","Demersal"," ",2.5,1.94,0.099,-0.0365,0.1065,-0.018,0.0789,-0.016
"207","YTROCKNPCOAST","Northern Pacific Coast","Yellowtail rockfish","Sebastes flavidus","Demersal"," ",1.45,1.36,-0.0224,0.0053,-0.0229,0.004,-0.0176,-0.0049
