"taxocategory","geo","stockid","areaname","stocklong","commonname1","scientificname","assessid","tsyear","ssb","total"
"32","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1944,377730,NA
"33","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1945,339493,NA
"34","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1946,307277,NA
"35","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1947,274346,NA
"36","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1948,241919,NA
"37","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1949,213686,NA
"38","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1950,191539,NA
"39","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1951,169645,NA
"40","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1952,153992,NA
"41","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1953,145259,NA
"42","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1954,140868,NA
"43","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1955,138484,NA
"44","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1956,135554,NA
"45","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1957,130763,NA
"46","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1958,124627,NA
"47","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1959,119992,NA
"48","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1960,117277,NA
"49","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1961,115820,NA
"50","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1962,112806,NA
"51","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1963,111311,NA
"52","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1964,112799,NA
"53","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1965,115510,NA
"54","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1966,118339,NA
"55","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1967,120076,NA
"56","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1968,121974,NA
"57","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1969,123597,NA
"58","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1970,119361,NA
"59","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1971,109776,NA
"60","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1972,96844.1,NA
"61","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1973,83568.6,NA
"62","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1974,73439.2,NA
"63","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1975,67286.8,NA
"64","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1976,61981,NA
"65","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1977,56638.7,NA
"66","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1978,49717,NA
"67","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1979,41128.7,NA
"68","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1980,32701.4,NA
"69","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1981,26352.5,NA
"70","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1982,20941.9,NA
"71","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1983,16583.5,NA
"72","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1984,13386.5,NA
"73","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1985,10736.9,NA
"74","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1986,8954.26,NA
"75","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1987,8350.72,NA
"76","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1988,8728.63,NA
"77","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1989,9957.03,NA
"78","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1990,11874.6,NA
"79","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1991,11208.9,NA
"80","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1992,9921.22,NA
"81","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1993,12066,NA
"82","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1994,12015.4,NA
"83","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1995,12366.3,NA
"84","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1996,17675.1,NA
"85","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1997,25225.4,NA
"86","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1998,35062,NA
"87","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",1999,46798.9,NA
"88","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",2000,60380.8,NA
"89","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",2001,75578.1,NA
"90","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",2002,92938.5,NA
"91","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",2003,113478,NA
"92","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",2004,137858,NA
"93","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",2005,166468,NA
"94","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",2006,199012,NA
"95","Other demersal","NWAtl","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","NEFSC-ACADREDGOMGB-1913-2007-MILLER",2007,234609,NA
"96","Pelagic","HighSeas","ALBANATL","Northern Atlantic","Albacore tuna North Atlantic","Albacore tuna","Thunnus alalunga","ICCAT-ALBANATL-1929-2005-WORM",1930,99043,209640
"97","Pelagic","HighSeas","ALBANATL","Northern Atlantic","Albacore tuna North Atlantic","Albacore tuna","Thunnus alalunga","ICCAT-ALBANATL-1929-2005-WORM",1931,100290,214330
"98","Pelagic","HighSeas","ALBANATL","Northern Atlantic","Albacore tuna North Atlantic","Albacore tuna","Thunnus alalunga","ICCAT-ALBANATL-1929-2005-WORM",1932,100060,205740
"99","Pelagic","HighSeas","ALBANATL","Northern Atlantic","Albacore tuna North Atlantic","Albacore tuna","Thunnus alalunga","ICCAT-ALBANATL-1929-2005-WORM",1933,100790,200390
"100","Pelagic","HighSeas","ALBANATL","Northern Atlantic","Albacore tuna North Atlantic","Albacore tuna","Thunnus alalunga","ICCAT-ALBANATL-1929-2005-WORM",1934,101730,214120
"101","Pelagic","HighSeas","ALBANATL","Northern Atlantic","Albacore tuna North Atlantic","Albacore tuna","Thunnus alalunga","ICCAT-ALBANATL-1929-2005-WORM",1935,101880,220180
"102","Pelagic","HighSeas","ALBANATL","Northern Atlantic","Albacore tuna North Atlantic","Albacore tuna","Thunnus alalunga","ICCAT-ALBANATL-1929-2005-WORM",1936,96439,217850
"103","Pelagic","HighSeas","ALBANATL","Northern Atlantic","Albacore tuna North Atlantic","Albacore tuna","Thunnus alalunga","ICCAT-ALBANATL-1929-2005-WORM",1937,89631,212770
"104","Pelagic","HighSeas","ALBANATL","Northern Atlantic","Albacore tuna North Atlantic","Albacore tuna","Thunnus alalunga","ICCAT-ALBANATL-1929-2005-WORM",1938,97766,215490
"105","Pelagic","HighSeas","ALBANATL","Northern Atlantic","Albacore tuna North Atlantic","Albacore tuna","Thunnus alalunga","ICCAT-ALBANATL-1929-2005-WORM",1939,107990,211350
"106","Pelagic","HighSeas","ALBANATL","Northern Atlantic","Albacore tuna North Atlantic","Albacore tuna","Thunnus alalunga","ICCAT-ALBANATL-1929-2005-WORM",1940,106530,205020
"107","Pelagic","HighSeas","ALBANATL","Northern Atlantic","Albacore tuna North Atlantic","Albacore tuna","Thunnus alalunga","ICCAT-ALBANATL-1929-2005-WORM",1941,101440,220060
"108","Pelagic","HighSeas","ALBANATL","Northern Atlantic","Albacore tuna North Atlantic","Albacore tuna","Thunnus alalunga","ICCAT-ALBANATL-1929-2005-WORM",1942,101160,244510
"109","Pelagic","HighSeas","ALBANATL","Northern Atlantic","Albacore tuna North Atlantic","Albacore tuna","Thunnus alalunga","ICCAT-ALBANATL-1929-2005-WORM",1943,100990,264340
"110","Pelagic","HighSeas","ALBANATL","Northern Atlantic","Albacore tuna North Atlantic","Albacore tuna","Thunnus alalunga","ICCAT-ALBANATL-1929-2005-WORM",1944,98985,297270
"111","Pelagic","HighSeas","ALBANATL","Northern Atlantic","Albacore tuna North Atlantic","Albacore tuna","Thunnus alalunga","ICCAT-ALBANATL-1929-2005-WORM",1945,110620,312140
"112","Pelagic","HighSeas","ALBANATL","Northern Atlantic","Albacore tuna North Atlantic","Albacore tuna","Thunnus alalunga","ICCAT-ALBANATL-1929-2005-WORM",1946,129360,295570
"113","Pelagic","HighSeas","ALBANATL","Northern Atlantic","Albacore tuna North Atlantic","Albacore tuna","Thunnus alalunga","ICCAT-ALBANATL-1929-2005-WORM",1947,139340,273520
"114","Pelagic","HighSeas","ALBANATL","Northern Atlantic","Albacore tuna North Atlantic","Albacore tuna","Thunnus alalunga","ICCAT-ALBANATL-1929-2005-WORM",1948,150260,251250
"115","Pelagic","HighSeas","ALBANATL","Northern Atlantic","Albacore tuna North Atlantic","Albacore tuna","Thunnus alalunga","ICCAT-ALBANATL-1929-2005-WORM",1949,148900,220930
"116","Pelagic","HighSeas","ALBANATL","Northern Atlantic","Albacore tuna North Atlantic","Albacore tuna","Thunnus alalunga","ICCAT-ALBANATL-1929-2005-WORM",1950,124600,186600
"117","Pelagic","HighSeas","ALBANATL","Northern Atlantic","Albacore tuna North Atlantic","Albacore tuna","Thunnus alalunga","ICCAT-ALBANATL-1929-2005-WORM",1951,92362,149810
"118","Pelagic","HighSeas","ALBANATL","Northern Atlantic","Albacore tuna North Atlantic","Albacore tuna","Thunnus alalunga","ICCAT-ALBANATL-1929-2005-WORM",1952,72453,119870
"119","Pelagic","HighSeas","ALBANATL","Northern Atlantic","Albacore tuna North Atlantic","Albacore tuna","Thunnus alalunga","ICCAT-ALBANATL-1929-2005-WORM",1953,54875,104180
