"assessid","maxyr","total","bmsy","ratio"
"152","NZMFishLOBSTERWG-RROCKLOBSTERCRA8-1976-2005-JENSEN",1992,837.4635,3342.21,0.250571777356899
"153","NZMFishMIDDEPTHSWG-GEMFISHNZ-1952-2007-JENSEN",1992,20891.3666666667,23459.1,0.890544252194956
"154","NZMFishMIDDEPTHSWG-NZLINGLIN3-4-1972-2007-JENSEN",1992,158085,91878.3,1.72059126039554
"155","NZMFishMIDDEPTHSWG-NZLINGLIN5-6-1972-2007-JENSEN",1992,314765,168477,1.86829656273557
"156","NZMFishMIDDEPTHSWG-NZLINGLIN6b-1980-2006-JENSEN",1992,16011.1,8746.48,1.83057641474056
"157","NZMFishMIDDEPTHSWG-NZLINGLIN72-1972-2007-JENSEN",1992,6865.49,4700.54,1.46057474247640
"158","NZMFishMIDDEPTHSWG-NZLINGLIN7WC-1972-2008-JENSEN",1992,76778.5,51353.8,1.49508897102064
"159","NZMFishMIDDEPTHSWG-SBWHITACIR-1979-2006-JENSEN",1992,28801.5,73932.1,0.389566913424615
"160","NZMFishSHELLFISHWG-PAUAPAU5A-1964-2006-JENSEN",1992,856.9595,704.538,1.21634248259143
"161","NZMFishSHELLFISHWG-PAUAPAU5B-1963-2007-JENSEN",1992,1502.185,1539.47,0.975780625799788
"162","NZMFishSHELLFISHWG-PAUAPAU5D-1964-2006-JENSEN",1992,913.4375,904.785,1.00956304536437
"163","NZMFishSHELLFISHWG-PAUAPAU7-1964-2008-JENSEN",1992,1672.71,1977.12,0.846033624666181
"164","RIDEM-LOBSTERRI-1959-2007-COLLIE",1992,4256.741,5542.82,0.767973883330146
"165","RIDEM-TAUTOGRI-1959-2007-COLLIE",1992,725.22,1478.22,0.490603563745586
"166","RIDEM-WINFLOUNDRI-1959-2007-COLLIE",1992,1111.0803,5222.02,0.212768296559569
"167","SEFSC-GAGGM-1963-2004-JENSEN",1992,8412.77,13767.4,0.611064543777329
"168","SEFSC-GRAMBERGM-1986-2004-JENSEN",1992,2564.16,4168.45,0.615135122167712
"169","SEFSC-KMACKGM-1992-2001-JENSEN",1992,31433.93,23868.2,1.31697949573072
"170","SEFSC-KMACKSATLC-1981-2001-JENSEN",1992,16701.26,13383.9,1.24786198342785
"171","SEFSC-MENATGM-1964-2004-GILROY",1992,3078800,2442840,1.26033632984559
"172","SEFSC-RGROUPGM-1986-2005-JENSEN",1992,30771.09,40284.1,0.763851991232273
"173","SEFSC-RPORGYSATLC-1972-2004-JENSEN",1992,1358.34,4660.04,0.291486768353920
"174","SEFSC-SPANMACKSATLC-1950-2008-JENSEN",1992,12701,34166.5,0.371738398723896
"175","SEFSC-TILESATLC-1961-2002-STANTON",1992,2829.2,3472.64,0.814711573903428
"176","SEFSC-VSNAPSATLC-1946-2008-STANTON",1992,3533,4031.9,0.87626181204891
"177","SFI-WPOLLNSO-1985-1994-JENSEN",1992,9937000,8952730,1.10994076667117
