\noindent For the following stocks, only a \verb|.doc| file was found:
CHAENOSGEORGIA,
SPOTSTROUTFLNW,
COHOFLYN,
SNOOKFLATLANTIC,
COHODEERFRY,
SNOOKFLGULF,
WHFSHPETCHORA,
SEELNS,

\noindent For the following stocks, only a \verb|.dat| file was found:
CHNKBLOSSOM,
WHSHERR,
COHOHUNTFRY,
COD4Vs,
HHERRHOKA,
 BRNTROWBMJ0 , Brown Trout , Wilfin Beck May/June 
 BRNTROWBMJ1 , Brown Trout , Wilfin Beck May/June 
 BTRODING , Freshwater brook trout , Dingleberry Lake Sierra Nevada 
 BTRODING2 , Freshwater brook trout , Dingleberry Lake Sierra Nevada 
 BTROFGUT1 , Freshwater brook trout , Fishgut Lake Sierra Nevada 
 BTROFIS1 , Freshwater brook trout , Fishgut Lake Sierra Nevada 
 BTROFLO2 , Freshwater brook trout , Flower Lake Sierra Nevada 
 BTROFLOW , Freshwater brook trout , Flower Lake Sierra Nevada 
 BTROHD2 , Freshwater brook trout , Hell Diver 2 Lake Sierra Nevada 
 BTROHD3 , Freshwater brook trout , Hell Diver 3 Lake Sierra Nevada 
 BTROHEL2 , Freshwater brook trout , Hell Diver 2 Lake Sierra Nevada 
 BTROHEL3 , Freshwater brook trout , Hell Diver 3 Lake Sierra Nevada 
 BTROHUNT , Freshwater brook trout , Hunt Creek Michigan 
 BTROPARV , Freshwater brook trout , Par Value Lake Sierra Nevada 
 BTROPARV2 , Freshwater brook trout , Par Value Lake Sierra Nevada 
 BTROSCMTMICHA0 , Freshwater brook trout , Montmorency County Michigan 
 BTROSCMTMICHA1 , Freshwater brook trout , Montmorency County Michigan 
 BTROSCMTMICHA2 , Freshwater brook trout , Montmorency County Michigan 
 BTROSCMTMICHA3 , Freshwater brook trout , Montmorency County Michigan 
 BTROSCMTMICHA4 , Freshwater brook trout , Montmorency County Michigan 
 BTROWON3 , Freshwater brook trout , Wonder 3 Lake Sierra Nevada 
 BTROWOND , Freshwater brook trout , Wonder 3 Lake Sierra Nevada 
 BTUNAWA , Atlantic bluefin tuna , West Atlantic 
 BUTTER56 , Butterfish , NAFO 5 and 6 
 BWHIT , Blue whiting , ICES 
 BWHITNA , Blue whiting , Northern ICES 
 BWHITSA , Blue whiting , Southern ICES 
 CAPEICE , Capelin , Iceland 
 CAPEICE0 , Capelin , Iceland 
 CAPENF , Capelin , SA2 + Div. 3KL 
 CAPENF0 , Capelin , Northern Newfoundland 
 CAPENF1 , Capelin , Northern Newfoundland 
 CAPENGSTL , Capelin , Northern Gulf of St. Lawrence 
 CAPENOR , Capelin , Barents Sea 
 CAPENORLAR , Capelin , Barents Sea 
 CAPENORLAR0 , Capelin , Barents Sea 
 CHAMPSGEORGIA , Champsocephalus gunnari , South Georgia Antarctic Ocean 
 CHAMPSORKNEY , Champsocephalus gunnari , South Orkney Islands Antarctic Ocean 
 CHILIPEPPER , Chilipepper rockfish , West U.S.A. 
 CHNKCAN , Chinook salmon , Wild Canadian Coastwide 
