assessid, issueid, datesent, datereply, dateapproved, notes, qaqc
"MARAM-CRLOBSTERSA12-1910-2008-Johnston",135,"2009-03-24",,"2011-06-10","benevolent dictator QAQC",1
"MARAM-CRLOBSTERSA34-1910-2008-Johnston",136,"2009-03-24",,"2011-06-10","benevolent dictator QAQC",1
"MARAM-CRLOBSTERSA56-1910-2008-Johnston",137,"2009-03-24",,"2011-06-10","benevolent dictator QAQC",1
"MARAM-CRLOBSTERSA7-1910-2008-Johnston",138,"2009-03-24",,"2011-06-10","benevolent dictator QAQC",1
"MARAM-CRLOBSTERSA8-1910-2008-Johnston",139,"2009-03-24",,"2011-06-10","benevolent dictator QAQC",1
"IATTC-BIGEYEEPAC-1975-2007-JENSEN",87,"2009-03-13",,"2011-06-10","benevolent dictator QAQC",1
"TAFI-TASGIANTCRABTAS-1990-2007-JENSEN",86,"2009-03-13",,"2011-06-10","benevolent dictator QAQC",1
"SEFSC-MUTSNAPSATLCGM-1981-2006-JENSEN",85,"2009-03-13",,"2011-06-10","benevolent dictator QAQC",1
"SEFSC-SPANMACKSATLC-1950-2008-JENSEN",75,"2009-03-13","2009-06-05","2010-04-30","",1
"SEFSC-RPORGYSATLC-1972-2004-JENSEN",73,"2009-03-13","2009-06-10","2010-05-05","",1
"SEFSC-KMACKSATLC-1981-2001-JENSEN",72,"2009-03-13",,"2011-06-10","benevolent dictator QAQC",1
"SEFSC-KMACKGM-1992-2001-JENSEN",71,"2009-03-13",,"2011-06-10","benevolent dictator QAQC",1
"SEFSC-GRAMBERSATLC-1946-2006-JENSEN",70,"2009-03-13",,"2011-06-10","benevolent dictator QAQC",1
"SEFSC-RSNAPSATLC-1945-2006-JENSEN",69,"2009-03-13",,"2011-06-10","benevolent dictator QAQC",1
"SEFSC-RGROUPGM-1986-2005-JENSEN",68,"2009-03-13","2009-06-05","2009-06-05","",1
"SEFSC-GTRIGGM-1981-2004-JENSEN",67,"2009-03-13",,"2011-06-10","benevolent dictator QAQC",1
"SPC-YFINCWPAC-1952-2005-JENSEN",60,"2009-03-13","2009-06-11","2010-05-04","",1
"SPC-BIGEYEWPO-1952-2006-JENSEN",59,"2009-03-13","2009-06-11","2010-05-04","",1
"ICCAT-SWORDMED-1968-2006-JENSEN",58,"2009-03-13",,"2011-06-10","benevolent dictator QAQC",1
"SPC-ALBASPAC-1959-2006-JENSEN",57,"2009-03-13","2009-06-11","2010-05-04","",1
"IATTC-YFINEPAC-1975-2007-JENSEN",56,"2009-03-13",,"2011-06-10","benevolent dictator QAQC",1
"SEFSC-GRAMBERGM-1986-2004-JENSEN",20,"2009-03-13","2009-06-05","2010-03-16","",1
"SEFSC-VSNAPGM-1981-2004-JENSEN",19,"2009-03-13","2009-06-10","2010-03-08","",1
"SEFSC-GAGGM-1963-2004-JENSEN",18,"2009-03-13","2009-06-5","2010-03-16","",1
"SEFSC-GAGSATLC-1962-2005-JENSEN",17,"2009-03-13","2009-06-05","2010-03-16","",1
"SPC-SKJCWPAC-1972-2006-JENSEN",15,"2009-03-13","2009-06-11","2010-05-04","",1
"CSIRO-GEMFISHSE-1966-2007-FULTON",88,"2009-03-13","2009-04-05","2009-04-22","",1
"CSIRO-NZLINGESE-1968-2007-FULTON",89,"2009-03-13","2009-04-05","2009-06-11","",1
"CSIRO-MORWONGSE-1913-2007-FULTON",90,"2009-03-13","2009-04-05","2009-06-11","",1
"CSIRO-SILVERFISHSE-1978-2006-FULTON",91,"2009-03-13","2009-04-05","2009-06-11","",1
"CSIRO-TIGERFLATSE-1913-2006-FULTON",92,"2009-03-13","2009-04-05","2009-06-11","",1
"CSIRO-NZLINGWSE-1968-2007-FULTON",93,"2009-03-13","2009-04-05","2009-06-11","",1
"CSIRO-SWHITSE-1945-2007-FULTON",94,"2009-03-13","2009-04-05","2009-06-11","",1
"CSIRO-BTSHRIMPNAUST-1970-2006-FULTON",95,"2009-03-13","2009-04-05","2009-06-11","",1
"CSIRO-OROUGHYCASCADE-1987-2006-FULTON",96,"2009-03-13","2009-04-05","2009-06-11","",1
"CSIRO-WAREHOUWSE-1984-2006-FULTON",97,"2009-03-13","2009-04-05","2009-06-11","",1
"CSIRO-OROUGHYSE-1978-2007-FULTON",98,"2009-03-13","2009-04-05","2009-04-21","",1
"CSIRO-DEEPFLATHEADSE-1978-2007-FULTON",99,"2009-03-13","2009-04-05","2009-06-11","",1
"CSIRO-BIGHTREDSE-1958-2007-FULTON",100,"2009-03-13","2009-04-05","2009-06-11","",1
"CSIRO-WAREHOUESE-1984-2006-FULTON",101,"2009-03-13","2009-04-05","2009-06-11","",1
"CSIRO-GTPRAWNNAUST-1970-2006-FULTON",102,"2009-03-13","2009-04-05","2009-06-11","",1
"ICCAT-ATBTUNAEATL-1969-2007-WORM",128,"2009-03-24","2009-05-21","2009-06-04","",1
"ICCAT-ALBANATL-1929-2005-WORM",24,"2009-03-13","2009-05-21","2009-06-04","",1
"ICCAT-ATBTUNAWATL-1969-2007-WORM",23,"2009-03-13","2009-05-21","2009-06-04","",1
"WGSSDS-WHITVIIek-1982-2007-JENNINGS",81,"2009-03-25","2009-05-08","2009-05-29","",1
"WGBFAS-SOLEIIIa-1982-2007-JENNINGS",80,"2009-03-25","2009-05-08","2009-05-29","",1
"WGNPBW-BWHITNEA-1980-2007-JENNINGS",79,"2009-03-25","2009-05-14","2009-05-29","",1
"WGSSDS-SOLEVIIe-1968-2006-JENNINGS",78,"2009-03-25","2009-05-15","2009-05-29","",1
"HAWG-HERRNIRS-1960-2006-JENNINGS",77,"2009-03-25","2009-05-11","2009-05-29","",1
"AFWG-GHALNEAR-1959-2007-JENNINGS",76,"2009-03-25","2009-05-08","2009-05-29","",1
"WGSSDS-SOLECS-1970-2006-JENNINGS",55,"2009-03-25","2009-05-15","2009-05-29","",1
"WGHMM-SOLEVIII-1982-2006-JENNINGS",54,"2009-03-25","2009-05-14","2009-05-29","",1
"WGMHSA-SARDPVIIIc-IXa-1978-2007-JENNINGS",53,"2009-03-25","2009-05-14","2009-05-29","",1
"WGSSDS-PLAICECHW-1975-2006-JENNINGS",52,"2009-03-25","2009-05-15","2009-05-28","",1
"WGSSDS-PLAICCELT-1976-2006-JENNINGS",51,"2009-03-25","2009-05-15","2009-05-28","",1
"WGHMM-MEG8c9a-1985-2007-JENNINGS",50,"2009-03-25","2009-05-08","2009-05-28","",1
"WGHMM-FMEG8c9a-1986-2006-JENNINGS",49,"2009-03-25","2009-05-14","2009-05-28","",1
"WGMHSA-MACKNEICES-1972-2007-JENNINGS",48,"2009-03-25","2009-05-08","2009-05-28","",1
"WGBFAS-HERRIsum-1983-2007-JENNINGS",47,"2009-03-25","2009-05-11","2009-05-28","",1
"WGSSDS-HADVIIb-k-1993-2006-JENNINGS",46,"2009-03-25","2009-05-14","2009-05-28","",1
"WGMHSA-ANCHOBAYB-1986-2007-JENNINGS",44,"2009-03-25","2009-05-14","2009-05-28","",1
"WGBFAS-SPRAT22-32-1973-2007-JENNINGS",35,"2009-03-25","2009-05-12","2009-05-28","",1
"WGHMM-HAKESOTH-1982-2007-JENNINGS",34,"2009-03-25","2009-05-12","2009-05-28","",1
"WGHMM-HAKENRTN-1977-2007-JENNINGS",33,"2009-03-25","2009-05-12","2009-05-28","",1
"WGBFAS-HERRRIGA-1976-2007-JENNINGS",32,"2009-03-25","2009-05-11","2009-05-28","",1
"WGBFAS-HERR31-1979-2006-JENNINGS",31,"2009-03-25","2009-05-11","2009-05-28","",1
"WGBFAS-HERR30-1972-2007-JENNINGS",30,"2009-03-25","2009-05-11","2009-05-28","",1
"WGBFAS-HERR2532-1973-2006-JENNINGS",29,"2009-03-25","2009-05-11","2009-05-28","",1
"WGNSSK-HADROCK-1990-2007-JENNINGS",28,"2009-03-25","2009-05-11","2009-05-28","",1
"WGBFAS-CODBA2532-1964-2007-JENNINGS",27,"2009-03-25","2009-05-11","2009-05-27","",1
"WGBFAS-CODBA2224-1969-2007-JENNINGS",26,"2009-03-25","2009-05-11","2009-05-27","",1
"AFWG-CAPENOR-1965-2007-MINTO",362,"2009-06-05","2009-06-05","2009-06-08","",1
"AFWG-CODCOASTNOR-1982-2006-MINTO",363,"2009-06-05","2009-06-06","2009-06-08","",1
"AFWG-CODNEAR-1943-2006-MINTO",364,"2009-06-05","2009-06-05","2009-06-08","",1
"AFWG-GOLDREDNEAR-1986-2006-MINTO",365,"2009-06-05","2009-06-06","2009-06-08","",1
"AFWG-HADNEAR-1947-2006-MINTO",366,"2009-06-05","2009-06-06","2009-06-08","",1
