stockid,tsn,scientificname,commonname,areaid,stocklong,inMYERSDB,MYERSstockid
"ACADRED5YZ",166774,"Sebastes fasciatus","Acadian Redfish","multinational-NAFO-5YZ","Acadian Redfish NAFO-5YZ",0,NULL
"ATHAL5YZ",172933,"Hippoglossus hippoglossus","Atlantic Halibut","multinational-NAFO-5YZ","Atlantic Halibut NAFO-5YZ",0,NULL
"CAPENOR",162035,"Mallotus villosus","Capelin","multinational-ICES-I","Capelin Barents Sea",1,NULL
"CAPEICE",162035,"Mallotus villosus","Capelin","multinational-ICES-Va","Capelin Iceland",1,CAPEICE
"CODFAPL",164712,"Gadus morhua","Atlantic cod","multinational-ICES-Vb1","Atlantic cod Faroe Plateau",1,NULL
"CODCOASTNOR",164712,"Gadus morhua","Atlantic cod","multinational-ICES-I-II","Atlantic cod coastal Norway",1,NULL
"GHALNEAR",172930,"Reinhardtius hippoglossoides","Greenland halibut","multinational-ICES-I-II","Greenland halibut Northeast Arctic",1,"GHALNEAR"
"POLLNEAR",164727,"Pollachius virens","Pollock","multinational-ICES-I-II","Pollock Northeast Arctic",1,"POLLNEAR"
"POLLFAPL",164727,"Pollachius virens","Pollock","multinational-ICES-Vb1","Pollock Faroe Plateau",1,"POLLFA"
"POLLNS-VI-IIIa",164727,"Pollachius virens","Pollock","multinational-ICES-IIIa-IV-VI","Haddock ICES IIIa, VI and North Sea",0,NULL
"HADNEAR",164744,"Melanogrammus aeglefinus","Haddock","multinational-ICES-I-II","Haddock Northeast Arctic",1,"HADNEAR"
"REDDEEPI_II",166756,"Sebastes mentella","Deepwater Redfish","multinational-ICES-I-II","Deepwater Redfish Northeast Arctic",1,"REDI\_II"
"HADFAPL",164744,"Melanogrammus aeglefinus","Haddock","multinational-ICES-Vb1","Haddock Faroe Plateau",1,"HADFAPL"
"HADNS-IIIa",164744,"Melanogrammus aeglefinus","Haddock","multinational-ICES-IIIa-IV","Haddock ICES IIIa and North Sea",0,NULL
"HADVIa",164744,"Melanogrammus aeglefinus","Haddock","multinational-ICES-VIa","Haddock West of Scotland",1,"HADVIa"
"HADVIIb-k",164744,"Melanogrammus aeglefinus","Haddock","multinational-ICES-VIIb-k","Haddock ICES VIIb-k",0,NULL
"HADROCK",164744,"Melanogrammus aeglefinus","Haddock","multinational-ICES-VIb","Haddock Rockall Bank",1,"HADROCK"
"HADIS",164744,"Melanogrammus aeglefinus","Haddock","multinational-ICES-VIIa","Haddock Irish Sea",1,"HADIS"
"GOLDREDNEAR",166781,"Sebastes norvegicus","Golden Redfish","multinational-ICES-I-II","Golden Redfish Northeast Arctic",0,NULL
"LOBSTERRI",97314,"Homarus americanus","American lobster","USA-US State-RI","American lobster Rhode Island",0,NULL
"TAUTOGRI",170479,"Tautoga onitis","Tautog","USA-US State-RI","Tautog Rhode Island",0,NULL
"WINFLOUNDRI",172905,"Pseudopleuronectes americanus","Winter flounder","USA-US State-RI","Winter flounder Rhode Island",0,NULL
"SEELNS",171677,"Ammodytes marinus","Sand lance","multinational-ICES-IV","Sandeel North Sea",0,NULL
"SEELNNS",171677,"Ammodytes marinus","Sand lance","multinational-ICES-IVa","Sandeel Northern North Sea",0,NULL
"SEELSNS",171677,"Ammodytes marinus","Sand lance","multinational-ICES-IVc","Sandeel Southern North Sea",0,NULL
"NPOUTNS",164756,"Trisopterus esmarkii","Norway pout","multinational-ICES-IV","Norway pout North Sea",1,"NPOUTNS"
"HERRIsum",161722,"Clupea harengus","Herring","multinational-ICES-Va","Herring Iceland (Summer spawners)",1,"HERRIsum"
"HERRNS",161722,"Clupea harengus","Herring","multinational-ICES-IV","Herring North Sea",1,"HERRNS"
"HERRVIa",161722,"Clupea harengus","Herring","multinational-ICES-VIa","Herring ICES VIa",1,"HERRVIa"
"HERRVIaVIIbc",161722,"Clupea harengus","Herring","multinational-ICES-VIa-VIIb-VIIc","Herring ICES VIa-VIIb-VIIc",1,"HERRVIaVIIbc"
"HERR2224IIIa",161722,"Clupea harengus","Herring","multinational-ICES-22-24-IIIa","Herring ICES 22-24-IIIa",0,NULL
"HERR2532",161722,"Clupea harengus","Herring","multinational-ICES-25-32","Herring ICES 25-32",0,NULL
"HERR30",161722,"Clupea harengus","Herring","multinational-ICES-30","Herring ICES 30",0,NULL
"HERR31",161722,"Clupea harengus","Herring","multinational-ICES-31","Herring ICES 31",0,NULL
"HERRRIGA",161722,"Clupea harengus","Herring","multinational-ICES-28","Herring ICES 28",0,NULL
"HERRNIRS",161722,"Clupea harengus","Herring","multinational-ICES-VIIa","Herring Northern Irish Sea",1,"HERRNIRS"
"PLAIC7d",172902,"Pleuronectes platessa","European Plaice","multinational-ICES-VIId","European Plaice ICES VIId",1,"PLAIC7d"
"PLAICIIIa",172902,"Pleuronectes platessa","European Plaice","multinational-ICES-IIIa","European Plaice ICES IIIa",1,"PLAICIIIa"
